DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 186.300,  60.500, Reference positions.

 7.00020, 145.000,  77.000, New tracking position
 7.01685, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01687, 145.000, -14.000, New tracking position
 7.03352,  90.044,  33.117, Back to the Sun
 7.03354,  90.044,  33.117, New tracking position
 7.05021,  81.149, -27.202, Rotor position possibly out of range
 7.05021,  90.225,  33.290, Sun position possibly out of range
 7.06688,  83.977, -27.029, Rotor position possibly out of range
 7.06688,  90.406,  33.463, Sun position possibly out of range
 7.08356,  85.154, -26.856, Rotor position possibly out of range
 7.08356,  90.587,  33.636, Sun position possibly out of range
 7.10023,  85.717, -26.683, Rotor position possibly out of range
 7.10023,  90.769,  33.809, Sun position possibly out of range
 7.11689,  85.981, -26.510, Rotor position possibly out of range
 7.11689,  90.951,  33.982, Sun position possibly out of range
 7.13357,  86.069, -26.337, Rotor position possibly out of range
 7.13357,  91.133,  34.154, Sun position possibly out of range
 7.15025,  86.041, -26.164, Rotor position possibly out of range
 7.15025,  91.316,  34.327, Sun position possibly out of range
 7.16692,  85.923, -25.991, Rotor position possibly out of range
 7.16692,  91.499,  34.500, Sun position possibly out of range
 7.18358,  85.726, -25.818, Rotor position possibly out of range
 7.18358,  91.683,  34.673, Sun position possibly out of range
 7.20027,  85.449, -25.645, Rotor position possibly out of range
 7.20027,  91.867,  34.846, Sun position possibly out of range
 7.21694,  85.074, -25.472, Rotor position possibly out of range
 7.21694,  92.051,  35.019, Sun position possibly out of range
 7.23361,  84.569, -25.300, Rotor position possibly out of range
 7.23361,  92.236,  35.192, Sun position possibly out of range
 7.25025, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25027, 145.000,  77.000, New tracking position
 7.26692, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26694, 145.000, -14.000, New tracking position
 7.28359,  92.793,  35.710, Back to the Sun
 7.28361,  80.866, -24.782, Rotor position possibly out of range
 7.28361,  92.793,  35.710, Sun position possibly out of range
 7.30027,  92.980,  35.883, New tracking position
 7.31694,  93.167,  36.056, New tracking position
 7.33363, 112.343, -24.260, Rotor position possibly out of range
 7.33363,  93.354,  36.229, Sun position possibly out of range
 7.35031,  95.902, -24.086, Rotor position possibly out of range
 7.35031,  93.545,  36.404, Sun position possibly out of range
 7.36698,  92.201, -23.914, Rotor position possibly out of range
 7.36698,  93.734,  36.577, Sun position possibly out of range
 7.38365,  90.499, -23.741, Rotor position possibly out of range
 7.38365,  93.923,  36.749, Sun position possibly out of range
 7.40031,  89.497, -23.569, Rotor position possibly out of range
 7.40031,  94.112,  36.922, Sun position possibly out of range
 7.41698,  88.826, -23.397, Rotor position possibly out of range
 7.41698,  94.302,  37.095, Sun position possibly out of range
 7.43364,  88.342, -23.224, Rotor position possibly out of range
 7.43364,  94.492,  37.267, Sun position possibly out of range
 7.45032,  87.980, -23.052, Rotor position possibly out of range
 7.45032,  94.683,  37.440, Sun position possibly out of range
 7.46699,  87.709, -22.879, Rotor position possibly out of range
 7.46699,  94.875,  37.612, Sun position possibly out of range
 7.48366,  87.516, -22.707, Rotor position possibly out of range
 7.48366,  95.066,  37.784, Sun position possibly out of range
 7.50031, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50032, 145.000,  77.000, New tracking position
 7.51697, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51699, 145.000, -14.000, New tracking position
 7.53365,  95.645,  38.301, Back to the Sun
 7.53367,  87.477, -22.190, Rotor position possibly out of range
 7.53367,  95.645,  38.301, Sun position possibly out of range
 7.55034,  87.760, -22.018, Rotor position possibly out of range
 7.55034,  95.839,  38.473, Sun position possibly out of range
 7.56701,  88.367, -21.846, Rotor position possibly out of range
 7.56701,  96.034,  38.645, Sun position possibly out of range
 7.58341,  89.624, -21.677, Rotor position possibly out of range
 7.58341,  96.226,  38.814, Sun position possibly out of range
 7.60009,  92.777, -21.504, Rotor position possibly out of range
 7.60009,  96.421,  38.986, Sun position possibly out of range
 7.61675, 106.477, -21.331, Rotor position possibly out of range
 7.61675,  96.617,  39.158, Sun position possibly out of range
 7.63342,  96.814,  39.330, New tracking position
 7.65008,  97.012,  39.502, New tracking position
 7.66675,  97.210,  39.674, New tracking position
 7.68342,  77.861, -20.647, Rotor position possibly out of range
 7.68342,  97.408,  39.845, Sun position possibly out of range
 7.70011,  78.604, -20.475, Rotor position possibly out of range
 7.70011,  97.608,  40.017, Sun position possibly out of range
 7.71678,  78.954, -20.304, Rotor position possibly out of range
 7.71678,  97.807,  40.188, Sun position possibly out of range
 7.73345,  79.089, -20.133, Rotor position possibly out of range
 7.73345,  98.008,  40.359, Sun position possibly out of range
 7.75010, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75012, 145.000,  77.000, New tracking position
 7.76677, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76679, 145.000, -14.000, New tracking position
 7.78344,  98.613,  40.873, Back to the Sun
 7.78346,  78.812, -19.619, Rotor position possibly out of range
 7.78346,  98.613,  40.873, Sun position possibly out of range
 7.80014,  78.556, -19.448, Rotor position possibly out of range
 7.80014,  98.816,  41.044, Sun position possibly out of range
 7.81682,  78.215, -19.277, Rotor position possibly out of range
 7.81682,  99.020,  41.215, Sun position possibly out of range
 7.83349,  77.766, -19.106, Rotor position possibly out of range
 7.83349,  99.224,  41.386, Sun position possibly out of range
 7.85015,  77.160, -18.936, Rotor position possibly out of range
 7.85015,  99.429,  41.557, Sun position possibly out of range
 7.86682,  99.635,  41.727, New tracking position
 7.88348,  99.841,  41.898, New tracking position
 7.90017, 100.049,  42.068, New tracking position
 7.91683, 100.257,  42.239, New tracking position
 7.93351,-852.671, -18.177, Rotor position possibly out of range
 7.93351, 100.465,  42.409, Sun position possibly out of range
 7.95018,  94.777, -17.912, Rotor position possibly out of range
 7.95018, 100.674,  42.579, Sun position possibly out of range
 7.96685,  86.891, -17.742, Rotor position possibly out of range
 7.96685, 100.885,  42.749, Sun position possibly out of range
 7.98351,  84.203, -17.573, Rotor position possibly out of range
 7.98351, 101.095,  42.919, Sun position possibly out of range
 8.00017, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00019, 145.000,  77.000, New tracking position
 8.01683, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.01685, 145.000, -14.000, New tracking position
 8.03349, 101.733,  43.427, Back to the Sun
 8.03351,  81.295, -17.064, Rotor position possibly out of range
 8.03351, 101.733,  43.427, Sun position possibly out of range
 8.05019,  80.831, -16.895, Rotor position possibly out of range
 8.05019, 101.947,  43.597, Sun position possibly out of range
 8.06685,  80.473, -16.726, Rotor position possibly out of range
 8.06685, 102.161,  43.766, Sun position possibly out of range
 8.08352,  80.199, -16.557, Rotor position possibly out of range
 8.08352, 102.377,  43.935, Sun position possibly out of range
 8.10018,  79.999, -16.388, Rotor position possibly out of range
 8.10018, 102.594,  44.104, Sun position possibly out of range
 8.11686,  79.875, -16.219, Rotor position possibly out of range
 8.11686, 102.811,  44.273, Sun position possibly out of range
 8.13352,  79.842, -16.050, Rotor position possibly out of range
 8.13352, 103.029,  44.442, Sun position possibly out of range
 8.15019,  79.932, -15.882, Rotor position possibly out of range
 8.15019, 103.248,  44.610, Sun position possibly out of range
 8.16685,  80.211, -15.714, Rotor position possibly out of range
 8.16685, 103.468,  44.778, Sun position possibly out of range
 8.18352,  80.827, -15.545, Rotor position possibly out of range
 8.18352, 103.688,  44.947, Sun position possibly out of range
 8.20020,  82.152, -15.377, Rotor position possibly out of range
 8.20020, 103.910,  45.115, Sun position possibly out of range
 8.21688,  85.497, -15.209, Rotor position possibly out of range
 8.21688, 104.133,  45.283, Sun position possibly out of range
 8.23354, 100.714, -15.040, Rotor position possibly out of range
 8.23354, 104.356,  45.450, Sun position possibly out of range
 8.25019, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.25021, 145.000,  77.000, New tracking position
 8.26686, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.26687, 145.000, -14.000, New tracking position
 8.28352, 105.032,  45.952, Back to the Sun
 8.28354, 105.032,  45.952, New tracking position
 8.30021, 105.259,  46.119, New tracking position
 8.31688, 105.487,  46.286, New tracking position
 8.33354, 105.716,  46.453, New tracking position
 8.35021, 105.946,  46.619, New tracking position
 8.36688, 106.177,  46.786, New tracking position
 8.38355, 106.409,  46.952, New tracking position
 8.40021, 106.642,  47.118, New tracking position
 8.41690, 106.877,  47.283, New tracking position
 8.43357, 107.112,  47.449, New tracking position
 8.45024, 107.348,  47.614, New tracking position
 8.46690, 107.586,  47.779, New tracking position
 8.48357, 107.824,  47.944, New tracking position
 8.50022, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.50024, 145.000,  77.000, New tracking position
