DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00028, 186.300,  60.500, Reference positions.

 7.00034, 145.000,  77.000, New tracking position
 7.01698, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01700, 145.000, -14.000, New tracking position
 7.03365,  89.395,  32.874, Back to the Sun
 7.03368,  93.669, -27.616, Rotor position possibly out of range
 7.03368,  89.395,  32.874, Sun position possibly out of range
 7.05008,  93.499, -27.446, Rotor position possibly out of range
 7.05008,  89.571,  33.044, Sun position possibly out of range
 7.06674,  93.325, -27.273, Rotor position possibly out of range
 7.06674,  89.751,  33.217, Sun position possibly out of range
 7.08342,  93.151, -27.100, Rotor position possibly out of range
 7.08342,  89.931,  33.390, Sun position possibly out of range
 7.10009,  92.977, -26.928, Rotor position possibly out of range
 7.10009,  90.111,  33.563, Sun position possibly out of range
 7.11676,  92.803, -26.755, Rotor position possibly out of range
 7.11676,  90.292,  33.736, Sun position possibly out of range
 7.13343,  92.628, -26.582, Rotor position possibly out of range
 7.13343,  90.473,  33.909, Sun position possibly out of range
 7.15010,  92.453, -26.409, Rotor position possibly out of range
 7.15010,  90.655,  34.082, Sun position possibly out of range
 7.16677,  92.277, -26.236, Rotor position possibly out of range
 7.16677,  90.836,  34.255, Sun position possibly out of range
 7.18343,  92.101, -26.063, Rotor position possibly out of range
 7.18343,  91.019,  34.428, Sun position possibly out of range
 7.20010,  91.925, -25.890, Rotor position possibly out of range
 7.20010,  91.201,  34.601, Sun position possibly out of range
 7.21678,  91.749, -25.717, Rotor position possibly out of range
 7.21678,  91.384,  34.774, Sun position possibly out of range
 7.23345,  91.572, -25.544, Rotor position possibly out of range
 7.23345,  91.568,  34.947, Sun position possibly out of range
 7.25010, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25012, 145.000,  77.000, New tracking position
 7.26677, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26679, 145.000, -14.000, New tracking position
 7.28345,  92.121,  35.465, Back to the Sun
 7.28347,  91.039, -25.026, Rotor position possibly out of range
 7.28347,  92.121,  35.465, Sun position possibly out of range
 7.30014,  90.861, -24.853, Rotor position possibly out of range
 7.30014,  92.306,  35.638, Sun position possibly out of range
 7.31681,  90.682, -24.680, Rotor position possibly out of range
 7.31681,  92.491,  35.811, Sun position possibly out of range
 7.33348,  90.503, -24.507, Rotor position possibly out of range
 7.33348,  92.677,  35.984, Sun position possibly out of range
 7.35015,  90.324, -24.335, Rotor position possibly out of range
 7.35015,  92.864,  36.156, Sun position possibly out of range
 7.36682,  90.144, -24.162, Rotor position possibly out of range
 7.36682,  93.051,  36.329, Sun position possibly out of range
 7.38349,  89.964, -23.989, Rotor position possibly out of range
 7.38349,  93.238,  36.502, Sun position possibly out of range
 7.40016,  89.783, -23.817, Rotor position possibly out of range
 7.40016,  93.426,  36.674, Sun position possibly out of range
 7.41682,  89.602, -23.644, Rotor position possibly out of range
 7.41682,  93.614,  36.847, Sun position possibly out of range
 7.43349,  89.420, -23.471, Rotor position possibly out of range
 7.43349,  93.803,  37.020, Sun position possibly out of range
 7.45017,  89.239, -23.299, Rotor position possibly out of range
 7.45017,  93.992,  37.192, Sun position possibly out of range
 7.46684,  89.056, -23.126, Rotor position possibly out of range
 7.46684,  94.182,  37.365, Sun position possibly out of range
 7.48351,  88.873, -22.954, Rotor position possibly out of range
 7.48351,  94.372,  37.537, Sun position possibly out of range
 7.50015, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50017, 145.000,  77.000, New tracking position
 7.51681, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51683, 145.000, -14.000, New tracking position
 7.53348,  94.946,  38.054, Back to the Sun
 7.53351,  88.323, -22.437, Rotor position possibly out of range
 7.53351,  94.946,  38.054, Sun position possibly out of range
 7.55017,  88.138, -22.264, Rotor position possibly out of range
 7.55017,  95.138,  38.227, Sun position possibly out of range
 7.56684,  87.953, -22.092, Rotor position possibly out of range
 7.56684,  95.331,  38.399, Sun position possibly out of range
 7.58351,  87.768, -21.920, Rotor position possibly out of range
 7.58351,  95.524,  38.571, Sun position possibly out of range
 7.60019,  87.582, -21.748, Rotor position possibly out of range
 7.60019,  95.718,  38.743, Sun position possibly out of range
 7.61686,  87.395, -21.576, Rotor position possibly out of range
 7.61686,  95.912,  38.915, Sun position possibly out of range
 7.63353,  87.208, -21.404, Rotor position possibly out of range
 7.63353,  96.107,  39.087, Sun position possibly out of range
 7.65020,  87.021, -21.232, Rotor position possibly out of range
 7.65020,  96.303,  39.259, Sun position possibly out of range
 7.66688,  86.833, -21.060, Rotor position possibly out of range
 7.66688,  96.499,  39.431, Sun position possibly out of range
 7.68355,  86.644, -20.888, Rotor position possibly out of range
 7.68355,  96.696,  39.603, Sun position possibly out of range
 7.70022,  86.455, -20.716, Rotor position possibly out of range
 7.70022,  96.893,  39.775, Sun position possibly out of range
 7.71688,  86.266, -20.545, Rotor position possibly out of range
 7.71688,  97.091,  39.947, Sun position possibly out of range
 7.73355,  86.076, -20.373, Rotor position possibly out of range
 7.73355,  97.290,  40.118, Sun position possibly out of range
 7.75020, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75022, 145.000,  77.000, New tracking position
 7.76687, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76689, 145.000, -14.000, New tracking position
 7.78355,  97.889,  40.633, Back to the Sun
 7.78357,  85.502, -19.859, Rotor position possibly out of range
 7.78357,  97.889,  40.633, Sun position possibly out of range
 7.80024,  85.310, -19.688, Rotor position possibly out of range
 7.80024,  98.090,  40.804, Sun position possibly out of range
 7.81690,  85.117, -19.516, Rotor position possibly out of range
 7.81690,  98.292,  40.975, Sun position possibly out of range
 7.83359,  84.923, -19.345, Rotor position possibly out of range
 7.83359,  98.494,  41.146, Sun position possibly out of range
 7.85025,  84.729, -19.174, Rotor position possibly out of range
 7.85025,  98.697,  41.317, Sun position possibly out of range
 7.86692,  84.535, -19.003, Rotor position possibly out of range
 7.86692,  98.901,  41.488, Sun position possibly out of range
 7.88358,  84.340, -18.832, Rotor position possibly out of range
 7.88358,  99.105,  41.659, Sun position possibly out of range
