DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 183.400,  60.500, Reference positions.

 7.00013, 145.000,  77.000, New tracking position
 7.01677, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01679, 145.000, -14.000, New tracking position
 7.03344,  90.344,  33.082, Back to the Sun
 7.03346,  93.056, -27.409, Rotor position possibly out of range
 7.03346,  90.344,  33.082, Sun position possibly out of range
 7.05012,  92.875, -27.236, Rotor position possibly out of range
 7.05013,  90.525,  33.255, Sun position possibly out of range
 7.06679,  92.693, -27.063, Rotor position possibly out of range
 7.06679,  90.707,  33.428, Sun position possibly out of range
 7.08346,  92.511, -26.890, Rotor position possibly out of range
 7.08346,  90.889,  33.601, Sun position possibly out of range
 7.10013,  92.329, -26.717, Rotor position possibly out of range
 7.10013,  91.071,  33.773, Sun position possibly out of range
 7.11680,  92.146, -26.544, Rotor position possibly out of range
 7.11680,  91.254,  33.946, Sun position possibly out of range
 7.13347,  91.963, -26.371, Rotor position possibly out of range
 7.13347,  91.437,  34.119, Sun position possibly out of range
 7.15014,  91.780, -26.198, Rotor position possibly out of range
 7.15014,  91.620,  34.292, Sun position possibly out of range
 7.16681,  91.596, -26.026, Rotor position possibly out of range
 7.16681,  91.804,  34.465, Sun position possibly out of range
 7.18347,  91.412, -25.853, Rotor position possibly out of range
 7.18347,  91.988,  34.638, Sun position possibly out of range
 7.20014,  91.227, -25.680, Rotor position possibly out of range
 7.20014,  92.173,  34.811, Sun position possibly out of range
 7.21681,  91.042, -25.507, Rotor position possibly out of range
 7.21681,  92.358,  34.984, Sun position possibly out of range
 7.23347,  90.857, -25.334, Rotor position possibly out of range
 7.23347,  92.543,  35.157, Sun position possibly out of range
 7.25012, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25014, 145.000,  77.000, New tracking position
 7.26679, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26681, 145.000, -14.000, New tracking position
 7.28346,  93.102,  35.675, Back to the Sun
 7.28348,  90.298, -24.816, Rotor position possibly out of range
 7.28348,  93.102,  35.675, Sun position possibly out of range
 7.30015,  90.111, -24.643, Rotor position possibly out of range
 7.30015,  93.289,  35.848, Sun position possibly out of range
 7.31681,  89.923, -24.470, Rotor position possibly out of range
 7.31681,  93.477,  36.021, Sun position possibly out of range
 7.33349,  89.735, -24.298, Rotor position possibly out of range
 7.33349,  93.665,  36.193, Sun position possibly out of range
 7.35015,  89.546, -24.125, Rotor position possibly out of range
 7.35015,  93.854,  36.366, Sun position possibly out of range
 7.36682,  89.357, -23.953, Rotor position possibly out of range
 7.36682,  94.043,  36.538, Sun position possibly out of range
 7.38349,  89.168, -23.780, Rotor position possibly out of range
 7.38349,  94.232,  36.711, Sun position possibly out of range
 7.40017,  88.977, -23.608, Rotor position possibly out of range
 7.40017,  94.423,  36.884, Sun position possibly out of range
 7.41684,  88.787, -23.435, Rotor position possibly out of range
 7.41684,  94.613,  37.056, Sun position possibly out of range
 7.43352,  88.596, -23.263, Rotor position possibly out of range
 7.43352,  94.804,  37.228, Sun position possibly out of range
 7.45018,  88.404, -23.090, Rotor position possibly out of range
 7.45018,  94.996,  37.401, Sun position possibly out of range
 7.46685,  88.212, -22.918, Rotor position possibly out of range
 7.46685,  95.188,  37.573, Sun position possibly out of range
 7.48352,  88.020, -22.746, Rotor position possibly out of range
 7.48352,  95.380,  37.745, Sun position possibly out of range
 7.50017, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50020, 145.000,  77.000, New tracking position
 7.51684, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51686, 145.000, -14.000, New tracking position
 7.53351,  95.961,  38.262, Back to the Sun
 7.53353,  87.439, -22.229, Rotor position possibly out of range
 7.53353,  95.961,  38.262, Sun position possibly out of range
 7.55020,  87.244, -22.057, Rotor position possibly out of range
 7.55020,  96.156,  38.434, Sun position possibly out of range
 7.56686,  87.049, -21.885, Rotor position possibly out of range
 7.56686,  96.351,  38.606, Sun position possibly out of range
 7.58353,  86.853, -21.713, Rotor position possibly out of range
 7.58353,  96.547,  38.778, Sun position possibly out of range
 7.60020,  86.657, -21.542, Rotor position possibly out of range
 7.60020,  96.743,  38.950, Sun position possibly out of range
 7.61687,  86.460, -21.370, Rotor position possibly out of range
 7.61687,  96.940,  39.122, Sun position possibly out of range
 7.63353,  86.262, -21.198, Rotor position possibly out of range
 7.63353,  97.138,  39.293, Sun position possibly out of range
 7.65020,  86.064, -21.026, Rotor position possibly out of range
 7.65020,  97.336,  39.465, Sun position possibly out of range
 7.66688,  85.865, -20.855, Rotor position possibly out of range
 7.66688,  97.535,  39.636, Sun position possibly out of range
 7.68355,  85.666, -20.683, Rotor position possibly out of range
 7.68355,  97.734,  39.808, Sun position possibly out of range
 7.70021,  85.466, -20.512, Rotor position possibly out of range
 7.70021,  97.934,  39.979, Sun position possibly out of range
 7.71689,  85.265, -20.341, Rotor position possibly out of range
 7.71689,  98.135,  40.151, Sun position possibly out of range
 7.73355,  85.064, -20.170, Rotor position possibly out of range
 7.73355,  98.336,  40.322, Sun position possibly out of range
 7.75019, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75021, 145.000,  77.000, New tracking position
 7.76686, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76688, 145.000, -14.000, New tracking position
 7.78354,  98.944,  40.835, Back to the Sun
 7.78356,  84.456, -19.656, Rotor position possibly out of range
 7.78356,  98.944,  40.835, Sun position possibly out of range
 7.80023,  84.252, -19.486, Rotor position possibly out of range
 7.80023,  99.148,  41.006, Sun position possibly out of range
 7.81690,  84.048, -19.315, Rotor position possibly out of range
 7.81690,  99.352,  41.177, Sun position possibly out of range
 7.83356,  83.843, -19.144, Rotor position possibly out of range
 7.83356,  99.557,  41.348, Sun position possibly out of range
 7.85024,  83.637, -18.974, Rotor position possibly out of range
 7.85024,  99.763,  41.518, Sun position possibly out of range
 7.86689,  83.430, -18.803, Rotor position possibly out of range
 7.86689,  99.970,  41.689, Sun position possibly out of range
 7.88356,  83.223, -18.633, Rotor position possibly out of range
 7.88356, 100.177,  41.859, Sun position possibly out of range
 7.90023,  83.015, -18.463, Rotor position possibly out of range
 7.90023, 100.385,  42.029, Sun position possibly out of range
 7.91689,  82.806, -18.292, Rotor position possibly out of range
 7.91689, 100.594,  42.199, Sun position possibly out of range
 7.93356,  82.597, -18.122, Rotor position possibly out of range
 7.93356, 100.803,  42.369, Sun position possibly out of range
 7.95024,  82.386, -17.952, Rotor position possibly out of range
 7.95024, 101.014,  42.539, Sun position possibly out of range
 7.96691,  82.175, -17.783, Rotor position possibly out of range
 7.96691, 101.225,  42.709, Sun position possibly out of range
 7.98358,  81.964, -17.613, Rotor position possibly out of range
 7.98358, 101.436,  42.879, Sun position possibly out of range
 8.00023, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00025, 145.000,  77.000, New tracking position
