DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 183.400,  60.500, Reference positions.

 7.00025, 145.000,  77.000, New tracking position
 7.01689, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01691, 145.000, -14.000, New tracking position
 7.03358,  90.949,  32.920, Back to the Sun
 7.03360,  92.451, -27.571, Rotor position possibly out of range
 7.03360,  90.949,  32.920, Sun position possibly out of range
 7.05028,  92.269, -27.398, Rotor position possibly out of range
 7.05029,  91.131,  33.093, Sun position possibly out of range
 7.06695,  92.086, -27.225, Rotor position possibly out of range
 7.06695,  91.314,  33.266, Sun position possibly out of range
 7.08364,  91.903, -27.052, Rotor position possibly out of range
 7.08364,  91.497,  33.439, Sun position possibly out of range
 7.10032,  91.717, -26.876, Rotor position possibly out of range
 7.10032,  91.683,  33.615, Sun position possibly out of range
 7.11701,  91.533, -26.703, Rotor position possibly out of range
 7.11701,  91.867,  33.787, Sun position possibly out of range
 7.13341,  91.352, -26.533, Rotor position possibly out of range
 7.13341,  92.048,  33.957, Sun position possibly out of range
 7.15011,  91.167, -26.361, Rotor position possibly out of range
 7.15011,  92.233,  34.130, Sun position possibly out of range
 7.16681,  90.982, -26.188, Rotor position possibly out of range
 7.16681,  92.418,  34.303, Sun position possibly out of range
 7.18351,  90.797, -26.015, Rotor position possibly out of range
 7.18351,  92.603,  34.476, Sun position possibly out of range
 7.20020,  90.611, -25.842, Rotor position possibly out of range
 7.20020,  92.789,  34.649, Sun position possibly out of range
 7.21689,  90.425, -25.669, Rotor position possibly out of range
 7.21689,  92.975,  34.822, Sun position possibly out of range
 7.23355,  90.238, -25.497, Rotor position possibly out of range
 7.23355,  93.162,  34.994, Sun position possibly out of range
 7.25019, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25021, 145.000,  77.000, New tracking position
 7.26688, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26690, 145.000, -14.000, New tracking position
 7.28356,  93.725,  35.513, Back to the Sun
 7.28359,  89.675, -24.978, Rotor position possibly out of range
 7.28359,  93.725,  35.513, Sun position possibly out of range
 7.30025,  89.487, -24.806, Rotor position possibly out of range
 7.30025,  93.913,  35.685, Sun position possibly out of range
 7.31692,  89.298, -24.633, Rotor position possibly out of range
 7.31692,  94.102,  35.858, Sun position possibly out of range
 7.33360,  89.108, -24.461, Rotor position possibly out of range
 7.33360,  94.292,  36.030, Sun position possibly out of range
 7.35027,  88.918, -24.288, Rotor position possibly out of range
 7.35027,  94.482,  36.203, Sun position possibly out of range
 7.36696,  88.728, -24.116, Rotor position possibly out of range
 7.36696,  94.672,  36.375, Sun position possibly out of range
 7.38363,  88.537, -23.943, Rotor position possibly out of range
 7.38363,  94.863,  36.548, Sun position possibly out of range
 7.40033,  88.342, -23.768, Rotor position possibly out of range
 7.40033,  95.058,  36.723, Sun position possibly out of range
 7.41699,  88.151, -23.596, Rotor position possibly out of range
 7.41699,  95.249,  36.895, Sun position possibly out of range
 7.43366,  87.958, -23.424, Rotor position possibly out of range
 7.43366,  95.442,  37.068, Sun position possibly out of range
 7.45033,  87.765, -23.251, Rotor position possibly out of range
 7.45033,  95.635,  37.240, Sun position possibly out of range
 7.46699,  87.572, -23.079, Rotor position possibly out of range
 7.46699,  95.828,  37.412, Sun position possibly out of range
 7.48366,  87.378, -22.907, Rotor position possibly out of range
 7.48366,  96.022,  37.584, Sun position possibly out of range
 7.50030, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50032, 145.000,  77.000, New tracking position
 7.51699, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51701, 145.000, -14.000, New tracking position
 7.53338,  96.604,  38.097, Back to the Sun
 7.53341,  86.796, -22.394, Rotor position possibly out of range
 7.53341,  96.604,  38.097, Sun position possibly out of range
 7.55008,  86.600, -22.222, Rotor position possibly out of range
 7.55008,  96.800,  38.269, Sun position possibly out of range
 7.56676,  86.403, -22.050, Rotor position possibly out of range
 7.56676,  96.997,  38.441, Sun position possibly out of range
 7.58345,  86.206, -21.879, Rotor position possibly out of range
 7.58345,  97.194,  38.613, Sun position possibly out of range
 7.60012,  86.008, -21.707, Rotor position possibly out of range
 7.60012,  97.392,  38.784, Sun position possibly out of range
 7.61679,  85.810, -21.536, Rotor position possibly out of range
 7.61679,  97.590,  38.956, Sun position possibly out of range
 7.63345,  85.611, -21.364, Rotor position possibly out of range
 7.63345,  97.789,  39.127, Sun position possibly out of range
 7.65013,  85.411, -21.193, Rotor position possibly out of range
 7.65013,  97.989,  39.299, Sun position possibly out of range
 7.66679,  85.211, -21.021, Rotor position possibly out of range
 7.66679,  98.189,  39.470, Sun position possibly out of range
 7.68350,  85.010, -20.850, Rotor position possibly out of range
 7.68350,  98.390,  39.641, Sun position possibly out of range
 7.70016,  84.808, -20.679, Rotor position possibly out of range
 7.70016,  98.592,  39.812, Sun position possibly out of range
 7.71683,  84.606, -20.508, Rotor position possibly out of range
 7.71683,  98.794,  39.983, Sun position possibly out of range
 7.73350,  84.403, -20.337, Rotor position possibly out of range
 7.73350,  98.997,  40.154, Sun position possibly out of range
 7.75014, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75016, 145.000,  77.000, New tracking position
 7.76681, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76683, 145.000, -14.000, New tracking position
 7.78347,  99.609,  40.667, Back to the Sun
 7.78350,  83.791, -19.825, Rotor position possibly out of range
 7.78350,  99.609,  40.667, Sun position possibly out of range
 7.80017,  83.586, -19.654, Rotor position possibly out of range
 7.80017,  99.814,  40.837, Sun position possibly out of range
 7.81683,  83.380, -19.484, Rotor position possibly out of range
 7.81683, 100.020,  41.008, Sun position possibly out of range
 7.83353,  83.173, -19.314, Rotor position possibly out of range
 7.83353, 100.227,  41.178, Sun position possibly out of range
 7.85020,  82.965, -19.143, Rotor position possibly out of range
 7.85020, 100.435,  41.348, Sun position possibly out of range
 7.86687,  82.757, -18.973, Rotor position possibly out of range
 7.86687, 100.643,  41.519, Sun position possibly out of range
 7.88354,  82.548, -18.803, Rotor position possibly out of range
 7.88354, 100.852,  41.689, Sun position possibly out of range
 7.90023,  82.339, -18.633, Rotor position possibly out of range
 7.90023, 101.061,  41.858, Sun position possibly out of range
 7.91691,  82.128, -18.464, Rotor position possibly out of range
 7.91691, 101.272,  42.028, Sun position possibly out of range
 7.93358,  81.917, -18.294, Rotor position possibly out of range
 7.93358, 101.483,  42.198, Sun position possibly out of range
 7.95026,  81.705, -18.124, Rotor position possibly out of range
 7.95026, 101.695,  42.367, Sun position possibly out of range
 7.96694,  81.493, -17.955, Rotor position possibly out of range
 7.96694, 101.907,  42.537, Sun position possibly out of range
 7.98361,  81.279, -17.786, Rotor position possibly out of range
 7.98361, 102.121,  42.706, Sun position possibly out of range
 8.00026, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00028, 145.000,  77.000, New tracking position
