DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 183.400,  60.500, Reference positions.

 7.00019, 145.000,  77.000, New tracking position
 7.01685, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01688, 145.000, -14.000, New tracking position
 7.03352,  92.327,  32.288, Back to the Sun
 7.03355,  91.073, -28.202, Rotor position possibly out of range
 7.03355,  92.327,  32.288, Sun position possibly out of range
 7.05022,  90.888, -28.030, Rotor position possibly out of range
 7.05022,  92.512,  32.461, Sun position possibly out of range
 7.06688,  90.702, -27.857, Rotor position possibly out of range
 7.06688,  92.698,  32.634, Sun position possibly out of range
 7.08355,  90.517, -27.684, Rotor position possibly out of range
 7.08355,  92.883,  32.807, Sun position possibly out of range
 7.10026,  90.331, -27.511, Rotor position possibly out of range
 7.10026,  93.069,  32.980, Sun position possibly out of range
 7.11695,  90.144, -27.338, Rotor position possibly out of range
 7.11695,  93.256,  33.153, Sun position possibly out of range
 7.13362,  89.957, -27.166, Rotor position possibly out of range
 7.13362,  93.443,  33.325, Sun position possibly out of range
 7.15029,  89.770, -26.993, Rotor position possibly out of range
 7.15029,  93.630,  33.498, Sun position possibly out of range
 7.16695,  89.582, -26.820, Rotor position possibly out of range
 7.16695,  93.818,  33.671, Sun position possibly out of range
 7.18362,  89.394, -26.648, Rotor position possibly out of range
 7.18362,  94.006,  33.843, Sun position possibly out of range
 7.20029,  89.206, -26.475, Rotor position possibly out of range
 7.20029,  94.194,  34.016, Sun position possibly out of range
 7.21699,  89.014, -26.300, Rotor position possibly out of range
 7.21699,  94.386,  34.191, Sun position possibly out of range
 7.23341,  88.827, -26.130, Rotor position possibly out of range
 7.23341,  94.573,  34.361, Sun position possibly out of range
 7.25005, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25007, 145.000,  77.000, New tracking position
 7.26672, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26674, 145.000, -14.000, New tracking position
 7.28339,  95.144,  34.878, Back to the Sun
 7.28341,  88.256, -25.613, Rotor position possibly out of range
 7.28341,  95.144,  34.878, Sun position possibly out of range
 7.30009,  88.065, -25.441, Rotor position possibly out of range
 7.30009,  95.335,  35.051, Sun position possibly out of range
 7.31675,  87.873, -25.268, Rotor position possibly out of range
 7.31675,  95.527,  35.223, Sun position possibly out of range
 7.33344,  87.681, -25.096, Rotor position possibly out of range
 7.33344,  95.719,  35.395, Sun position possibly out of range
 7.35012,  87.488, -24.924, Rotor position possibly out of range
 7.35012,  95.912,  35.567, Sun position possibly out of range
 7.36679,  87.295, -24.752, Rotor position possibly out of range
 7.36679,  96.105,  35.739, Sun position possibly out of range
 7.38349,  87.101, -24.580, Rotor position possibly out of range
 7.38349,  96.299,  35.911, Sun position possibly out of range
 7.40019,  86.907, -24.408, Rotor position possibly out of range
 7.40019,  96.493,  36.083, Sun position possibly out of range
 7.41686,  86.712, -24.236, Rotor position possibly out of range
 7.41686,  96.688,  36.255, Sun position possibly out of range
 7.43355,  86.517, -24.064, Rotor position possibly out of range
 7.43355,  96.883,  36.427, Sun position possibly out of range
 7.45023,  86.321, -23.892, Rotor position possibly out of range
 7.45023,  97.079,  36.599, Sun position possibly out of range
 7.46693,  86.125, -23.721, Rotor position possibly out of range
 7.46693,  97.275,  36.771, Sun position possibly out of range
 7.48360,  85.928, -23.549, Rotor position possibly out of range
 7.48360,  97.472,  36.942, Sun position possibly out of range
 7.50027, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50029, 145.000,  77.000, New tracking position
 7.51694, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51696, 145.000, -14.000, New tracking position
 7.53360,  98.066,  37.457, Back to the Sun
 7.53363,  85.334, -23.035, Rotor position possibly out of range
 7.53363,  98.066,  37.457, Sun position possibly out of range
 7.55030,  85.135, -22.863, Rotor position possibly out of range
 7.55030,  98.265,  37.628, Sun position possibly out of range
 7.56700,  84.932, -22.689, Rotor position possibly out of range
 7.56700,  98.468,  37.802, Sun position possibly out of range
 7.58367,  84.732, -22.518, Rotor position possibly out of range
 7.58367,  98.668,  37.973, Sun position possibly out of range
 7.60008,  84.534, -22.350, Rotor position possibly out of range
 7.60008,  98.866,  38.141, Sun position possibly out of range
 7.61679,  84.333, -22.179, Rotor position possibly out of range
 7.61679,  99.067,  38.312, Sun position possibly out of range
 7.63346,  84.131, -22.008, Rotor position possibly out of range
 7.63346,  99.269,  38.483, Sun position possibly out of range
 7.65013,  83.928, -21.838, Rotor position possibly out of range
 7.65013,  99.472,  38.654, Sun position possibly out of range
 7.66680,  83.725, -21.667, Rotor position possibly out of range
 7.66680,  99.675,  38.825, Sun position possibly out of range
 7.68350,  83.521, -21.496, Rotor position possibly out of range
 7.68350,  99.879,  38.995, Sun position possibly out of range
 7.70019,  83.316, -21.326, Rotor position possibly out of range
 7.70019, 100.084,  39.166, Sun position possibly out of range
 7.71687,  83.111, -21.156, Rotor position possibly out of range
 7.71687, 100.289,  39.336, Sun position possibly out of range
 7.73357,  82.905, -20.985, Rotor position possibly out of range
 7.73357, 100.495,  39.506, Sun position possibly out of range
 7.75024, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75026, 145.000,  77.000, New tracking position
 7.76691, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76693, 145.000, -14.000, New tracking position
 7.78358, 101.117,  40.016, Back to the Sun
 7.78360,  82.283, -20.475, Rotor position possibly out of range
 7.78360, 101.117,  40.016, Sun position possibly out of range
 7.80027,  82.075, -20.306, Rotor position possibly out of range
 7.80027, 101.325,  40.186, Sun position possibly out of range
 7.81694,  81.865, -20.136, Rotor position possibly out of range
 7.81694, 101.535,  40.356, Sun position possibly out of range
 7.83364,  81.652, -19.964, Rotor position possibly out of range
 7.83364, 101.748,  40.528, Sun position possibly out of range
 7.85008,  81.445, -19.797, Rotor position possibly out of range
 7.85008, 101.955,  40.695, Sun position possibly out of range
 7.86676,  81.233, -19.628, Rotor position possibly out of range
 7.86676, 102.167,  40.864, Sun position possibly out of range
 7.88345,  81.021, -19.459, Rotor position possibly out of range
 7.88345, 102.379,  41.033, Sun position possibly out of range
 7.90014,  80.808, -19.290, Rotor position possibly out of range
 7.90014, 102.592,  41.202, Sun position possibly out of range
 7.91684,  80.595, -19.121, Rotor position possibly out of range
 7.91684, 102.805,  41.371, Sun position possibly out of range
 7.93350,  80.380, -18.952, Rotor position possibly out of range
 7.93350, 103.020,  41.540, Sun position possibly out of range
 7.95019,  80.165, -18.784, Rotor position possibly out of range
 7.95019, 103.235,  41.708, Sun position possibly out of range
 7.96690,  79.949, -18.615, Rotor position possibly out of range
 7.96690, 103.451,  41.877, Sun position possibly out of range
 7.98358,  79.733, -18.447, Rotor position possibly out of range
 7.98358, 103.667,  42.045, Sun position possibly out of range
 8.00022, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00024, 145.000,  77.000, New tracking position
