DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 186.300,  60.500, Reference positions.

 7.00009, 145.000,  77.000, New tracking position
 7.01672, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01675, 145.000, -14.000, New tracking position
 7.03339,  89.354,  32.768, Back to the Sun
 7.03342,  93.707, -27.723, Rotor position possibly out of range
 7.03342,  89.354,  32.768, Sun position possibly out of range
 7.05008,  93.533, -27.550, Rotor position possibly out of range
 7.05009,  89.533,  32.941, Sun position possibly out of range
 7.06676,  93.360, -27.377, Rotor position possibly out of range
 7.06676,  89.713,  33.114, Sun position possibly out of range
 7.08344,  93.186, -27.204, Rotor position possibly out of range
 7.08344,  89.893,  33.287, Sun position possibly out of range
 7.10012,  93.012, -27.031, Rotor position possibly out of range
 7.10012,  90.073,  33.460, Sun position possibly out of range
 7.11679,  92.837, -26.858, Rotor position possibly out of range
 7.11679,  90.254,  33.633, Sun position possibly out of range
 7.13346,  92.662, -26.685, Rotor position possibly out of range
 7.13346,  90.435,  33.806, Sun position possibly out of range
 7.15013,  92.487, -26.512, Rotor position possibly out of range
 7.15013,  90.616,  33.978, Sun position possibly out of range
 7.16680,  92.312, -26.339, Rotor position possibly out of range
 7.16680,  90.798,  34.151, Sun position possibly out of range
 7.18347,  92.136, -26.166, Rotor position possibly out of range
 7.18347,  90.980,  34.324, Sun position possibly out of range
 7.20014,  91.960, -25.994, Rotor position possibly out of range
 7.20014,  91.163,  34.497, Sun position possibly out of range
 7.21682,  91.784, -25.821, Rotor position possibly out of range
 7.21682,  91.346,  34.670, Sun position possibly out of range
 7.23348,  91.607, -25.648, Rotor position possibly out of range
 7.23348,  91.529,  34.843, Sun position possibly out of range
 7.25013, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25015, 145.000,  77.000, New tracking position
 7.26679, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26681, 145.000, -14.000, New tracking position
 7.28348,  92.081,  35.362, Back to the Sun
 7.28350,  91.074, -25.129, Rotor position possibly out of range
 7.28350,  92.081,  35.362, Sun position possibly out of range
 7.30016,  90.896, -24.956, Rotor position possibly out of range
 7.30016,  92.266,  35.534, Sun position possibly out of range
 7.31683,  90.717, -24.784, Rotor position possibly out of range
 7.31683,  92.452,  35.707, Sun position possibly out of range
 7.33350,  90.538, -24.611, Rotor position possibly out of range
 7.33350,  92.638,  35.880, Sun position possibly out of range
 7.35017,  90.359, -24.438, Rotor position possibly out of range
 7.35017,  92.824,  36.053, Sun position possibly out of range
 7.36685,  90.179, -24.265, Rotor position possibly out of range
 7.36685,  93.011,  36.225, Sun position possibly out of range
 7.38352,  89.999, -24.093, Rotor position possibly out of range
 7.38352,  93.198,  36.398, Sun position possibly out of range
 7.40019,  89.819, -23.920, Rotor position possibly out of range
 7.40019,  93.386,  36.571, Sun position possibly out of range
 7.41686,  89.638, -23.748, Rotor position possibly out of range
 7.41686,  93.574,  36.744, Sun position possibly out of range
 7.43352,  89.456, -23.575, Rotor position possibly out of range
 7.43352,  93.763,  36.916, Sun position possibly out of range
 7.45019,  89.274, -23.402, Rotor position possibly out of range
 7.45019,  93.952,  37.089, Sun position possibly out of range
 7.46686,  89.092, -23.230, Rotor position possibly out of range
 7.46686,  94.141,  37.261, Sun position possibly out of range
 7.48352,  88.909, -23.057, Rotor position possibly out of range
 7.48352,  94.331,  37.434, Sun position possibly out of range
 7.50017, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50019, 145.000,  77.000, New tracking position
 7.51684, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51686, 145.000, -14.000, New tracking position
 7.53350,  94.905,  37.951, Back to the Sun
 7.53353,  88.359, -22.540, Rotor position possibly out of range
 7.53353,  94.905,  37.951, Sun position possibly out of range
 7.55019,  88.174, -22.368, Rotor position possibly out of range
 7.55019,  95.097,  38.123, Sun position possibly out of range
 7.56686,  87.989, -22.196, Rotor position possibly out of range
 7.56686,  95.290,  38.295, Sun position possibly out of range
 7.58352,  87.804, -22.024, Rotor position possibly out of range
 7.58352,  95.483,  38.468, Sun position possibly out of range
 7.60020,  87.618, -21.851, Rotor position possibly out of range
 7.60020,  95.677,  38.640, Sun position possibly out of range
 7.61686,  87.432, -21.679, Rotor position possibly out of range
 7.61686,  95.871,  38.812, Sun position possibly out of range
 7.63353,  87.245, -21.507, Rotor position possibly out of range
 7.63353,  96.066,  38.984, Sun position possibly out of range
 7.65020,  87.058, -21.335, Rotor position possibly out of range
 7.65020,  96.261,  39.156, Sun position possibly out of range
 7.66687,  86.870, -21.164, Rotor position possibly out of range
 7.66687,  96.457,  39.328, Sun position possibly out of range
 7.68354,  86.681, -20.992, Rotor position possibly out of range
 7.68354,  96.654,  39.500, Sun position possibly out of range
 7.70021,  86.493, -20.820, Rotor position possibly out of range
 7.70021,  96.851,  39.671, Sun position possibly out of range
 7.71688,  86.303, -20.648, Rotor position possibly out of range
 7.71688,  97.049,  39.843, Sun position possibly out of range
 7.73354,  86.113, -20.477, Rotor position possibly out of range
 7.73354,  97.247,  40.015, Sun position possibly out of range
 7.75019, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75021, 145.000,  77.000, New tracking position
 7.76685, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76687, 145.000, -14.000, New tracking position
 7.78354,  97.846,  40.529, Back to the Sun
 7.78357,  85.540, -19.962, Rotor position possibly out of range
 7.78357,  97.846,  40.529, Sun position possibly out of range
 7.80023,  85.348, -19.791, Rotor position possibly out of range
 7.80023,  98.047,  40.701, Sun position possibly out of range
 7.81691,  85.155, -19.620, Rotor position possibly out of range
 7.81691,  98.248,  40.872, Sun position possibly out of range
 7.83357,  84.962, -19.449, Rotor position possibly out of range
 7.83357,  98.450,  41.043, Sun position possibly out of range
 7.85023,  84.768, -19.278, Rotor position possibly out of range
 7.85023,  98.653,  41.214, Sun position possibly out of range
 7.86691,  84.573, -19.107, Rotor position possibly out of range
 7.86691,  98.857,  41.385, Sun position possibly out of range
 7.88358,  84.378, -18.936, Rotor position possibly out of range
 7.88358,  99.061,  41.556, Sun position possibly out of range
 7.90025,  84.183, -18.765, Rotor position possibly out of range
 7.90025,  99.266,  41.727, Sun position possibly out of range
 7.91691,  83.986, -18.594, Rotor position possibly out of range
 7.91691,  99.471,  41.897, Sun position possibly out of range
 7.93358,  83.789, -18.424, Rotor position possibly out of range
 7.93358,  99.677,  42.068, Sun position possibly out of range
 7.95026,  83.592, -18.253, Rotor position possibly out of range
 7.95026,  99.884,  42.238, Sun position possibly out of range
 7.96693,  83.393, -18.083, Rotor position possibly out of range
 7.96693, 100.092,  42.409, Sun position possibly out of range
 7.98360,  83.194, -17.913, Rotor position possibly out of range
 7.98360, 100.300,  42.579, Sun position possibly out of range
 8.00025, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00027, 145.000,  77.000, New tracking position
 8.01691, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.01693, 145.000, -14.000, New tracking position
 8.03357, 100.930,  43.089, Back to the Sun
 8.03360,  82.594, -17.403, Rotor position possibly out of range
 8.03360, 100.930,  43.089, Sun position possibly out of range
 8.05026,  82.392, -17.233, Rotor position possibly out of range
 8.05026, 101.142,  43.259, Sun position possibly out of range
 8.06693,  82.190, -17.063, Rotor position possibly out of range
 8.06693, 101.354,  43.428, Sun position possibly out of range
 8.08360,  81.987, -16.894, Rotor position possibly out of range
 8.08360, 101.567,  43.598, Sun position possibly out of range
 8.10028,  81.783, -16.724, Rotor position possibly out of range
 8.10028, 101.781,  43.767, Sun position possibly out of range
 8.11694,  81.579, -16.555, Rotor position possibly out of range
 8.11694, 101.995,  43.937, Sun position possibly out of range
 8.13362,  81.373, -16.386, Rotor position possibly out of range
 8.13362, 102.211,  44.106, Sun position possibly out of range
 8.15029,  81.167, -16.217, Rotor position possibly out of range
 8.15029, 102.427,  44.275, Sun position possibly out of range
 8.16696,  80.961, -16.048, Rotor position possibly out of range
 8.16696, 102.644,  44.444, Sun position possibly out of range
 8.18363,  80.753, -15.880, Rotor position possibly out of range
 8.18363, 102.862,  44.612, Sun position possibly out of range
 8.20029,  80.545, -15.711, Rotor position possibly out of range
 8.20029, 103.081,  44.781, Sun position possibly out of range
 8.21696,  80.336, -15.543, Rotor position possibly out of range
 8.21696, 103.300,  44.949, Sun position possibly out of range
 8.23365,  80.123, -15.371, Rotor position possibly out of range
 8.23365, 103.524,  45.120, Sun position possibly out of range
 8.25030, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.25032, 145.000,  77.000, New tracking position
 8.26697, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.26699, 145.000, -14.000, New tracking position
 8.28364, 104.191,  45.624, Back to the Sun
