DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 183.400,  60.500, Reference positions.

 7.00017, 145.000,  77.000, New tracking position
 7.01684, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01685, 145.000, -14.000, New tracking position
 7.03353,  93.798,  31.344, Back to the Sun
 7.03356,  89.602, -29.147, Rotor position possibly out of range
 7.03356,  93.798,  31.344, Sun position possibly out of range
 7.05024,  89.415, -28.974, Rotor position possibly out of range
 7.05024,  93.985,  31.517, Sun position possibly out of range
 7.06693,  89.227, -28.802, Rotor position possibly out of range
 7.06693,  94.173,  31.689, Sun position possibly out of range
 7.08361,  89.039, -28.629, Rotor position possibly out of range
 7.08361,  94.361,  31.862, Sun position possibly out of range
 7.10030,  88.850, -28.457, Rotor position possibly out of range
 7.10030,  94.550,  32.035, Sun position possibly out of range
 7.11699,  88.658, -28.281, Rotor position possibly out of range
 7.11699,  94.742,  32.210, Sun position possibly out of range
 7.13368,  88.468, -28.109, Rotor position possibly out of range
 7.13368,  94.932,  32.382, Sun position possibly out of range
 7.15009,  88.282, -27.939, Rotor position possibly out of range
 7.15009,  95.118,  32.552, Sun position possibly out of range
 7.16678,  88.091, -27.767, Rotor position possibly out of range
 7.16678,  95.309,  32.724, Sun position possibly out of range
 7.18346,  87.901, -27.595, Rotor position possibly out of range
 7.18346,  95.499,  32.897, Sun position possibly out of range
 7.20014,  87.710, -27.422, Rotor position possibly out of range
 7.20015,  95.690,  33.069, Sun position possibly out of range
 7.21683,  87.518, -27.250, Rotor position possibly out of range
 7.21683,  95.882,  33.241, Sun position possibly out of range
 7.23351,  87.326, -27.078, Rotor position possibly out of range
 7.23351,  96.074,  33.413, Sun position possibly out of range
 7.25019, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25020, 145.000,  77.000, New tracking position
 7.26686, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26688, 145.000, -14.000, New tracking position
 7.28353,  96.653,  33.929, Back to the Sun
 7.28356,  86.747, -26.562, Rotor position possibly out of range
 7.28356,  96.653,  33.929, Sun position possibly out of range
 7.30026,  86.553, -26.390, Rotor position possibly out of range
 7.30026,  96.847,  34.101, Sun position possibly out of range
 7.31695,  86.359, -26.219, Rotor position possibly out of range
 7.31695,  97.041,  34.273, Sun position possibly out of range
 7.33363,  86.164, -26.047, Rotor position possibly out of range
 7.33363,  97.236,  34.445, Sun position possibly out of range
 7.35032,  85.965, -25.872, Rotor position possibly out of range
 7.35032,  97.435,  34.619, Sun position possibly out of range
 7.36700,  85.769, -25.701, Rotor position possibly out of range
 7.36700,  97.631,  34.791, Sun position possibly out of range
 7.38368,  85.573, -25.529, Rotor position possibly out of range
 7.38368,  97.827,  34.962, Sun position possibly out of range
 7.40036,  85.376, -25.358, Rotor position possibly out of range
 7.40036,  98.024,  35.134, Sun position possibly out of range
 7.41676,  85.181, -25.189, Rotor position possibly out of range
 7.41676,  98.219,  35.302, Sun position possibly out of range
 7.43344,  84.983, -25.018, Rotor position possibly out of range
 7.43344,  98.417,  35.473, Sun position possibly out of range
 7.45012,  84.785, -24.847, Rotor position possibly out of range
 7.45012,  98.615,  35.645, Sun position possibly out of range
 7.46682,  84.586, -24.676, Rotor position possibly out of range
 7.46683,  98.814,  35.816, Sun position possibly out of range
 7.48352,  84.386, -24.505, Rotor position possibly out of range
 7.48352,  99.014,  35.987, Sun position possibly out of range
 7.50017, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50019, 145.000,  77.000, New tracking position
 7.51686, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51688, 145.000, -14.000, New tracking position
 7.53354,  99.616,  36.499, Back to the Sun
 7.53356,  83.784, -23.993, Rotor position possibly out of range
 7.53356,  99.616,  36.499, Sun position possibly out of range
 7.55024,  83.582, -23.822, Rotor position possibly out of range
 7.55024,  99.818,  36.670, Sun position possibly out of range
 7.56693,  83.380, -23.652, Rotor position possibly out of range
 7.56693, 100.020,  36.840, Sun position possibly out of range
 7.58363,  83.177, -23.481, Rotor position possibly out of range
 7.58363, 100.223,  37.011, Sun position possibly out of range
 7.60032,  82.970, -23.308, Rotor position possibly out of range
 7.60032, 100.430,  37.184, Sun position possibly out of range
 7.61676,  82.769, -23.141, Rotor position possibly out of range
 7.61676, 100.631,  37.351, Sun position possibly out of range
 7.63343,  82.564, -22.971, Rotor position possibly out of range
 7.63343, 100.836,  37.521, Sun position possibly out of range
 7.65012,  82.358, -22.801, Rotor position possibly out of range
 7.65012, 101.042,  37.691, Sun position possibly out of range
 7.66681,  82.152, -22.631, Rotor position possibly out of range
 7.66681, 101.248,  37.861, Sun position possibly out of range
 7.68351,  81.945, -22.461, Rotor position possibly out of range
 7.68351, 101.455,  38.031, Sun position possibly out of range
 7.70021,  81.738, -22.292, Rotor position possibly out of range
 7.70021, 101.662,  38.200, Sun position possibly out of range
 7.71688,  81.530, -22.122, Rotor position possibly out of range
 7.71688, 101.870,  38.370, Sun position possibly out of range
 7.73359,  81.321, -21.953, Rotor position possibly out of range
 7.73359, 102.079,  38.539, Sun position possibly out of range
 7.75024, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75025, 145.000,  77.000, New tracking position
 7.76692, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76693, 145.000, -14.000, New tracking position
 7.78362, 102.712,  39.049, Back to the Sun
 7.78364,  80.688, -21.443, Rotor position possibly out of range
 7.78364, 102.712,  39.049, Sun position possibly out of range
 7.80033,  80.476, -21.274, Rotor position possibly out of range
 7.80033, 102.924,  39.218, Sun position possibly out of range
 7.81702,  80.264, -21.105, Rotor position possibly out of range
 7.81702, 103.136,  39.387, Sun position possibly out of range
 7.83342,  80.055, -20.940, Rotor position possibly out of range
 7.83342, 103.345,  39.552, Sun position possibly out of range
 7.85011,  79.841, -20.771, Rotor position possibly out of range
 7.85011, 103.559,  39.721, Sun position possibly out of range
 7.86679,  79.627, -20.603, Rotor position possibly out of range
 7.86679, 103.773,  39.889, Sun position possibly out of range
 7.88348,  79.412, -20.435, Rotor position possibly out of range
 7.88349, 103.988,  40.057, Sun position possibly out of range
 7.90018,  79.196, -20.267, Rotor position possibly out of range
 7.90018, 104.204,  40.225, Sun position possibly out of range
 7.91688,  78.980, -20.100, Rotor position possibly out of range
 7.91688, 104.420,  40.393, Sun position possibly out of range
 7.93357,  78.762, -19.932, Rotor position possibly out of range
 7.93357, 104.638,  40.560, Sun position possibly out of range
 7.95026,  78.544, -19.765, Rotor position possibly out of range
 7.95026, 104.856,  40.728, Sun position possibly out of range
 7.96694,  78.326, -19.597, Rotor position possibly out of range
 7.96694, 105.074,  40.895, Sun position possibly out of range
 7.98362,  78.106, -19.430, Rotor position possibly out of range
 7.98362, 105.294,  41.062, Sun position possibly out of range
 8.00029, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00031, 145.000,  77.000, New tracking position
