DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 186.300,  60.500, Reference positions.

 7.00008, 145.000,  77.000, New tracking position
 7.01673, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01675, 145.000, -14.000, New tracking position
 7.03339,  89.956,  33.118, Back to the Sun
 7.03341,  89.956,  33.118, New tracking position
 7.05009,  81.282, -27.201, Rotor position possibly out of range
 7.05009,  90.136,  33.291, Sun position possibly out of range
 7.06675,  84.084, -27.027, Rotor position possibly out of range
 7.06675,  90.317,  33.464, Sun position possibly out of range
 7.08342,  85.253, -26.854, Rotor position possibly out of range
 7.08342,  90.498,  33.637, Sun position possibly out of range
 7.10009,  85.812, -26.681, Rotor position possibly out of range
 7.10009,  90.679,  33.810, Sun position possibly out of range
 7.11676,  86.073, -26.508, Rotor position possibly out of range
 7.11676,  90.861,  33.983, Sun position possibly out of range
 7.13343,  86.161, -26.335, Rotor position possibly out of range
 7.13343,  91.043,  34.156, Sun position possibly out of range
 7.15009,  86.132, -26.162, Rotor position possibly out of range
 7.15009,  91.226,  34.329, Sun position possibly out of range
 7.16676,  86.013, -25.989, Rotor position possibly out of range
 7.16676,  91.409,  34.502, Sun position possibly out of range
 7.18343,  85.816, -25.817, Rotor position possibly out of range
 7.18343,  91.592,  34.675, Sun position possibly out of range
 7.20009,  85.538, -25.644, Rotor position possibly out of range
 7.20009,  91.776,  34.848, Sun position possibly out of range
 7.21677,  85.163, -25.471, Rotor position possibly out of range
 7.21677,  91.961,  35.021, Sun position possibly out of range
 7.23344,  84.656, -25.298, Rotor position possibly out of range
 7.23344,  92.145,  35.194, Sun position possibly out of range
 7.25010, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25012, 145.000,  77.000, New tracking position
 7.26677, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26679, 145.000, -14.000, New tracking position
 7.28346,  92.702,  35.712, Back to the Sun
 7.28348,  80.933, -24.780, Rotor position possibly out of range
 7.28348,  92.702,  35.712, Sun position possibly out of range
 7.30015,  92.888,  35.885, New tracking position
 7.31682,  93.075,  36.058, New tracking position
 7.33349, 112.004, -24.258, Rotor position possibly out of range
 7.33349,  93.262,  36.230, Sun position possibly out of range
 7.35017,  96.036, -24.087, Rotor position possibly out of range
 7.35017,  93.450,  36.403, Sun position possibly out of range
 7.36683,  92.311, -23.915, Rotor position possibly out of range
 7.36683,  93.638,  36.576, Sun position possibly out of range
 7.38351,  90.602, -23.743, Rotor position possibly out of range
 7.38351,  93.827,  36.748, Sun position possibly out of range
 7.40019,  89.598, -23.570, Rotor position possibly out of range
 7.40019,  94.016,  36.921, Sun position possibly out of range
 7.41686,  88.925, -23.398, Rotor position possibly out of range
 7.41686,  94.206,  37.093, Sun position possibly out of range
 7.43352,  88.440, -23.225, Rotor position possibly out of range
 7.43352,  94.396,  37.266, Sun position possibly out of range
 7.45019,  88.077, -23.053, Rotor position possibly out of range
 7.45019,  94.586,  37.438, Sun position possibly out of range
 7.46686,  87.806, -22.880, Rotor position possibly out of range
 7.46686,  94.778,  37.611, Sun position possibly out of range
 7.48353,  87.613, -22.708, Rotor position possibly out of range
 7.48353,  94.969,  37.783, Sun position possibly out of range
 7.50017, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50019, 145.000,  77.000, New tracking position
 7.51684, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51686, 145.000, -14.000, New tracking position
 7.53352,  95.547,  38.300, Back to the Sun
 7.53354,  87.573, -22.191, Rotor position possibly out of range
 7.53354,  95.547,  38.300, Sun position possibly out of range
 7.55021,  87.855, -22.019, Rotor position possibly out of range
 7.55021,  95.741,  38.472, Sun position possibly out of range
 7.56688,  88.460, -21.847, Rotor position possibly out of range
 7.56688,  95.935,  38.644, Sun position possibly out of range
 7.58354,  89.744, -21.675, Rotor position possibly out of range
 7.58354,  96.130,  38.816, Sun position possibly out of range
 7.60022,  92.938, -21.502, Rotor position possibly out of range
 7.60022,  96.326,  38.988, Sun position possibly out of range
 7.61688, 107.008, -21.329, Rotor position possibly out of range
 7.61688,  96.522,  39.160, Sun position possibly out of range
 7.63355,  96.718,  39.332, New tracking position
 7.65022,  96.915,  39.504, New tracking position
 7.66689,  97.113,  39.676, New tracking position
 7.68357,  77.974, -20.645, Rotor position possibly out of range
 7.68357,  97.312,  39.847, Sun position possibly out of range
 7.70023,  78.710, -20.473, Rotor position possibly out of range
 7.70023,  97.511,  40.019, Sun position possibly out of range
 7.71690,  79.056, -20.302, Rotor position possibly out of range
 7.71690,  97.710,  40.190, Sun position possibly out of range
 7.73358,  79.190, -20.130, Rotor position possibly out of range
 7.73358,  97.910,  40.362, Sun position possibly out of range
 7.75023, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75024, 145.000,  77.000, New tracking position
 7.76690, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76692, 145.000, -14.000, New tracking position
 7.78357,  98.515,  40.876, Back to the Sun
 7.78359,  78.910, -19.617, Rotor position possibly out of range
 7.78359,  98.515,  40.876, Sun position possibly out of range
 7.80026,  78.653, -19.446, Rotor position possibly out of range
 7.80026,  98.718,  41.047, Sun position possibly out of range
 7.81693,  78.311, -19.275, Rotor position possibly out of range
 7.81693,  98.921,  41.218, Sun position possibly out of range
 7.83360,  77.860, -19.104, Rotor position possibly out of range
 7.83360,  99.125,  41.388, Sun position possibly out of range
 7.85029,  77.251, -18.933, Rotor position possibly out of range
 7.85029,  99.330,  41.559, Sun position possibly out of range
 7.86696,  99.536,  41.730, New tracking position
 7.88364,  99.745,  41.903, New tracking position
 7.90030,  99.952,  42.074, New tracking position
 7.91697, 100.160,  42.244, New tracking position
 7.93364, 961.369, -17.989, Rotor position possibly out of range
 7.93364, 100.368,  42.414, Sun position possibly out of range
 7.95031,  94.368, -17.906, Rotor position possibly out of range
 7.95031, 100.577,  42.585, Sun position possibly out of range
 7.96698,  86.863, -17.737, Rotor position possibly out of range
 7.96698, 100.787,  42.755, Sun position possibly out of range
 7.98364,  84.246, -17.567, Rotor position possibly out of range
 7.98364, 100.998,  42.924, Sun position possibly out of range
 8.00030, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00032, 145.000,  77.000, New tracking position
 8.01695, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.01697, 145.000, -14.000, New tracking position
 8.03363, 101.634,  43.433, Back to the Sun
 8.03365,  81.382, -17.058, Rotor position possibly out of range
 8.03365, 101.634,  43.433, Sun position possibly out of range
 8.05032,  80.923, -16.889, Rotor position possibly out of range
 8.05032, 101.848,  43.603, Sun position possibly out of range
 8.06699,  80.569, -16.720, Rotor position possibly out of range
 8.06699, 102.062,  43.772, Sun position possibly out of range
 8.08367,  80.298, -16.551, Rotor position possibly out of range
 8.08367, 102.278,  43.941, Sun position possibly out of range
 8.10034,  80.101, -16.382, Rotor position possibly out of range
 8.10034, 102.494,  44.110, Sun position possibly out of range
 8.11700,  79.980, -16.213, Rotor position possibly out of range
 8.11700, 102.711,  44.279, Sun position possibly out of range
 8.13367,  79.951, -16.044, Rotor position possibly out of range
 8.13367, 102.929,  44.448, Sun position possibly out of range
 8.15034,  80.047, -15.876, Rotor position possibly out of range
 8.15034, 103.147,  44.616, Sun position possibly out of range
 8.16700,  80.337, -15.707, Rotor position possibly out of range
 8.16700, 103.367,  44.785, Sun position possibly out of range
 8.18341,  80.956, -15.542, Rotor position possibly out of range
 8.18341, 103.584,  44.950, Sun position possibly out of range
 8.20008,  82.307, -15.373, Rotor position possibly out of range
 8.20008, 103.805,  45.118, Sun position possibly out of range
 8.21674,  85.739, -15.205, Rotor position possibly out of range
 8.21674, 104.027,  45.286, Sun position possibly out of range
 8.23341, 101.824, -15.036, Rotor position possibly out of range
 8.23341, 104.250,  45.454, Sun position possibly out of range
 8.25006, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.25008, 145.000,  77.000, New tracking position
 8.26673, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.26675, 145.000, -14.000, New tracking position
 8.28339, 104.925,  45.957, Back to the Sun
 8.28341, 104.925,  45.957, New tracking position
 8.30009, 105.152,  46.124, New tracking position
 8.31676, 105.380,  46.291, New tracking position
 8.33343, 105.609,  46.457, New tracking position
 8.35010, 105.838,  46.624, New tracking position
 8.36676, 106.069,  46.790, New tracking position
 8.38343, 106.301,  46.957, New tracking position
 8.40011, 106.534,  47.123, New tracking position
 8.41678, 106.768,  47.288, New tracking position
 8.43344, 107.002,  47.454, New tracking position
 8.45011, 107.238,  47.619, New tracking position
 8.46679, 107.475,  47.784, New tracking position
 8.48346, 107.714,  47.949, New tracking position
 8.50011, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.50014, 145.000,  77.000, New tracking position
