DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00028, 186.300,  60.500, Reference positions.

 7.00035, 145.000,  77.000, New tracking position
 7.01672, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01674, 145.000, -14.000, New tracking position
 7.03339,  89.598,  33.053, Back to the Sun
 7.03341,  89.598,  33.053, New tracking position
 7.05007,  79.376, -27.266, Rotor position possibly out of range
 7.05007,  89.778,  33.226, Sun position possibly out of range
 7.06674,  83.623, -27.092, Rotor position possibly out of range
 7.06674,  89.958,  33.399, Sun position possibly out of range
 7.08341,  85.205, -26.919, Rotor position possibly out of range
 7.08341,  90.138,  33.572, Sun position possibly out of range
 7.10008,  85.939, -26.746, Rotor position possibly out of range
 7.10008,  90.319,  33.745, Sun position possibly out of range
 7.11674,  86.293, -26.573, Rotor position possibly out of range
 7.11674,  90.500,  33.918, Sun position possibly out of range
 7.13342,  86.437, -26.400, Rotor position possibly out of range
 7.13342,  90.682,  34.091, Sun position possibly out of range
 7.15009,  86.448, -26.227, Rotor position possibly out of range
 7.15009,  90.864,  34.264, Sun position possibly out of range
 7.16676,  86.362, -26.054, Rotor position possibly out of range
 7.16676,  91.046,  34.437, Sun position possibly out of range
 7.18343,  86.194, -25.882, Rotor position possibly out of range
 7.18343,  91.228,  34.610, Sun position possibly out of range
 7.20010,  85.948, -25.709, Rotor position possibly out of range
 7.20010,  91.412,  34.783, Sun position possibly out of range
 7.21676,  85.613, -25.536, Rotor position possibly out of range
 7.21676,  91.595,  34.956, Sun position possibly out of range
 7.23343,  85.162, -25.363, Rotor position possibly out of range
 7.23343,  91.779,  35.129, Sun position possibly out of range
 7.25007, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25009, 145.000,  77.000, New tracking position
 7.26673, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26675, 145.000, -14.000, New tracking position
 7.28342,  92.333,  35.647, Back to the Sun
 7.28344,  82.106, -24.845, Rotor position possibly out of range
 7.28344,  92.333,  35.647, Sun position possibly out of range
 7.30013,  79.001, -24.672, Rotor position possibly out of range
 7.30013,  92.519,  35.820, Sun position possibly out of range
 7.31680,  92.705,  35.993, New tracking position
 7.33348, 156.270, -24.319, Rotor position possibly out of range
 7.33348,  92.891,  36.166, Sun position possibly out of range
 7.35015,  99.269, -24.152, Rotor position possibly out of range
 7.35015,  93.078,  36.338, Sun position possibly out of range
 7.36683,  93.627, -23.980, Rotor position possibly out of range
 7.36683,  93.265,  36.511, Sun position possibly out of range
 7.38349,  91.428, -23.807, Rotor position possibly out of range
 7.38349,  93.453,  36.684, Sun position possibly out of range
 7.40016,  90.226, -23.635, Rotor position possibly out of range
 7.40016,  93.642,  36.856, Sun position possibly out of range
 7.41684,  89.453, -23.462, Rotor position possibly out of range
 7.41684,  93.830,  37.029, Sun position possibly out of range
 7.43350,  88.909, -23.290, Rotor position possibly out of range
 7.43350,  94.020,  37.202, Sun position possibly out of range
 7.45017,  88.506, -23.117, Rotor position possibly out of range
 7.45017,  94.209,  37.374, Sun position possibly out of range
 7.46684,  88.204, -22.945, Rotor position possibly out of range
 7.46684,  94.400,  37.547, Sun position possibly out of range
 7.48352,  87.983, -22.772, Rotor position possibly out of range
 7.48352,  94.591,  37.719, Sun position possibly out of range
 7.50017, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50019, 145.000,  77.000, New tracking position
 7.51683, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51685, 145.000, -14.000, New tracking position
 7.53350,  95.166,  38.236, Back to the Sun
 7.53352,  87.829, -22.255, Rotor position possibly out of range
 7.53352,  95.166,  38.236, Sun position possibly out of range
 7.55019,  88.032, -22.083, Rotor position possibly out of range
 7.55019,  95.359,  38.408, Sun position possibly out of range
 7.56685,  88.494, -21.911, Rotor position possibly out of range
 7.56685,  95.552,  38.581, Sun position possibly out of range
 7.58352,  89.458, -21.738, Rotor position possibly out of range
 7.58352,  95.746,  38.753, Sun position possibly out of range
 7.60019,  91.666, -21.566, Rotor position possibly out of range
 7.60019,  95.941,  38.925, Sun position possibly out of range
 7.61686,  98.805, -21.393, Rotor position possibly out of range
 7.61686,  96.136,  39.097, Sun position possibly out of range
 7.63352,2349.609, -20.996, Rotor position possibly out of range
 7.63352,  96.331,  39.269, Sun position possibly out of range
 7.65020,  96.527,  39.441, New tracking position
 7.66687,  96.724,  39.613, New tracking position
 7.68354,  77.848, -20.708, Rotor position possibly out of range
 7.68354,  96.922,  39.784, Sun position possibly out of range
 7.70022,  78.818, -20.536, Rotor position possibly out of range
 7.70022,  97.120,  39.956, Sun position possibly out of range
 7.71688,  79.279, -20.364, Rotor position possibly out of range
 7.71688,  97.318,  40.128, Sun position possibly out of range
 7.73355,  79.479, -20.193, Rotor position possibly out of range
 7.73355,  97.517,  40.299, Sun position possibly out of range
 7.75019, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75021, 145.000,  77.000, New tracking position
 7.76685, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76688, 145.000, -14.000, New tracking position
 7.78353,  98.119,  40.813, Back to the Sun
 7.78356,  79.307, -19.679, Rotor position possibly out of range
 7.78356,  98.119,  40.813, Sun position possibly out of range
 7.80023,  79.079, -19.508, Rotor position possibly out of range
 7.80023,  98.321,  40.985, Sun position possibly out of range
 7.81690,  78.770, -19.336, Rotor position possibly out of range
 7.81690,  98.523,  41.156, Sun position possibly out of range
 7.83357,  78.363, -19.165, Rotor position possibly out of range
 7.83357,  98.726,  41.327, Sun position possibly out of range
 7.85025,  77.820, -18.995, Rotor position possibly out of range
 7.85025,  98.930,  41.498, Sun position possibly out of range
 7.86691,  77.062, -18.824, Rotor position possibly out of range
 7.86691,  99.134,  41.669, Sun position possibly out of range
 7.88357,  99.339,  41.839, New tracking position
 7.90024,  99.545,  42.010, New tracking position
 7.91690,  99.752,  42.181, New tracking position
 7.93357,  99.959,  42.351, New tracking position
 7.95025, 103.310, -17.968, Rotor position possibly out of range
 7.95025, 100.167,  42.521, Sun position possibly out of range
 7.96692,  88.934, -17.800, Rotor position possibly out of range
