DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 186.300,  60.500, Reference positions.

 7.00011, 145.000,  77.000, New tracking position
 7.01675, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01677, 145.000, -14.000, New tracking position
 7.03342,  89.544,  33.026, Back to the Sun
 7.03344,  89.544,  33.026, New tracking position
 7.05012,  78.061, -27.293, Rotor position possibly out of range
 7.05012,  89.724,  33.199, Sun position possibly out of range
 7.06678,  83.247, -27.120, Rotor position possibly out of range
 7.06678,  89.904,  33.372, Sun position possibly out of range
 7.08345,  85.057, -26.947, Rotor position possibly out of range
 7.08345,  90.084,  33.545, Sun position possibly out of range
 7.10012,  85.881, -26.774, Rotor position possibly out of range
 7.10012,  90.265,  33.718, Sun position possibly out of range
 7.11678,  86.279, -26.601, Rotor position possibly out of range
 7.11678,  90.446,  33.891, Sun position possibly out of range
 7.13345,  86.450, -26.428, Rotor position possibly out of range
 7.13345,  90.627,  34.064, Sun position possibly out of range
 7.15013,  86.479, -26.255, Rotor position possibly out of range
 7.15013,  90.809,  34.237, Sun position possibly out of range
 7.16681,  86.407, -26.082, Rotor position possibly out of range
 7.16681,  90.991,  34.410, Sun position possibly out of range
 7.18348,  86.252, -25.909, Rotor position possibly out of range
 7.18348,  91.174,  34.583, Sun position possibly out of range
 7.20015,  86.018, -25.736, Rotor position possibly out of range
 7.20015,  91.357,  34.755, Sun position possibly out of range
 7.21684,  85.699, -25.563, Rotor position possibly out of range
 7.21684,  91.540,  34.928, Sun position possibly out of range
 7.23352,  85.269, -25.390, Rotor position possibly out of range
 7.23352,  91.724,  35.101, Sun position possibly out of range
 7.25016, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25018, 145.000,  77.000, New tracking position
 7.26683, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26685, 145.000, -14.000, New tracking position
 7.28350,  92.278,  35.620, Back to the Sun
 7.28352,  82.436, -24.872, Rotor position possibly out of range
 7.28352,  92.278,  35.620, Sun position possibly out of range
 7.30019,  79.723, -24.699, Rotor position possibly out of range
 7.30019,  92.463,  35.793, Sun position possibly out of range
 7.31686,  92.649,  35.965, New tracking position
 7.33353, 345.925, -24.327, Rotor position possibly out of range
 7.33353,  92.836,  36.138, Sun position possibly out of range
 7.35019, 101.143, -24.179, Rotor position possibly out of range
 7.35019,  93.022,  36.311, Sun position possibly out of range
 7.36686,  94.186, -24.007, Rotor position possibly out of range
 7.36686,  93.210,  36.484, Sun position possibly out of range
 7.38353,  91.710, -23.834, Rotor position possibly out of range
 7.38353,  93.397,  36.656, Sun position possibly out of range
 7.40022,  90.406, -23.662, Rotor position possibly out of range
 7.40022,  93.585,  36.829, Sun position possibly out of range
 7.41689,  89.583, -23.489, Rotor position possibly out of range
 7.41689,  93.774,  37.002, Sun position possibly out of range
 7.43357,  89.010, -23.317, Rotor position possibly out of range
 7.43357,  93.963,  37.174, Sun position possibly out of range
 7.45023,  88.589, -23.144, Rotor position possibly out of range
 7.45023,  94.153,  37.347, Sun position possibly out of range
 7.46689,  88.273, -22.972, Rotor position possibly out of range
 7.46689,  94.343,  37.519, Sun position possibly out of range
 7.48357,  88.040, -22.799, Rotor position possibly out of range
 7.48357,  94.534,  37.692, Sun position possibly out of range
 7.50021, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50023, 145.000,  77.000, New tracking position
 7.51688, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51691, 145.000, -14.000, New tracking position
 7.53355,  95.109,  38.209, Back to the Sun
 7.53357,  87.840, -22.282, Rotor position possibly out of range
 7.53357,  95.109,  38.209, Sun position possibly out of range
 7.55023,  88.014, -22.110, Rotor position possibly out of range
 7.55023,  95.301,  38.381, Sun position possibly out of range
 7.56690,  88.424, -21.938, Rotor position possibly out of range
 7.56690,  95.495,  38.553, Sun position possibly out of range
 7.58357,  89.281, -21.766, Rotor position possibly out of range
 7.58357,  95.688,  38.726, Sun position possibly out of range
 7.60024,  91.193, -21.593, Rotor position possibly out of range
 7.60024,  95.883,  38.898, Sun position possibly out of range
 7.61690,  96.863, -21.421, Rotor position possibly out of range
 7.61690,  96.078,  39.070, Sun position possibly out of range
 7.63357, 174.919, -21.241, Rotor position possibly out of range
 7.63357,  96.273,  39.242, Sun position possibly out of range
 7.65024,  96.469,  39.414, New tracking position
 7.66692,  96.666,  39.585, New tracking position
 7.68360,  77.641, -20.735, Rotor position possibly out of range
 7.68360,  96.863,  39.757, Sun position possibly out of range
 7.70027,  78.737, -20.563, Rotor position possibly out of range
 7.70027,  97.061,  39.929, Sun position possibly out of range
 7.71694,  79.256, -20.391, Rotor position possibly out of range
 7.71694,  97.259,  40.101, Sun position possibly out of range
 7.73361,  79.488, -20.220, Rotor position possibly out of range
 7.73361,  97.458,  40.272, Sun position possibly out of range
 7.75026, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75028, 145.000,  77.000, New tracking position
 7.76694, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76696, 145.000, -14.000, New tracking position
 7.78360,  98.059,  40.786, Back to the Sun
 7.78363,  79.364, -19.706, Rotor position possibly out of range
 7.78363,  98.059,  40.786, Sun position possibly out of range
 7.80030,  79.148, -19.534, Rotor position possibly out of range
 7.80030,  98.261,  40.958, Sun position possibly out of range
 7.81697,  78.853, -19.363, Rotor position possibly out of range
 7.81697,  98.463,  41.129, Sun position possibly out of range
 7.83363,  78.463, -19.192, Rotor position possibly out of range
 7.83363,  98.666,  41.300, Sun position possibly out of range
 7.85030,  77.945, -19.021, Rotor position possibly out of range
 7.85030,  98.869,  41.471, Sun position possibly out of range
 7.86697,  77.214, -18.848, Rotor position possibly out of range
 7.86697,  99.077,  41.645, Sun position possibly out of range
 7.88363,  99.282,  41.815, New tracking position
 7.90031,  99.488,  41.986, New tracking position
 7.91698,  99.694,  42.157, New tracking position
 7.93365,  99.901,  42.327, New tracking position
 7.95032, 109.848, -17.992, Rotor position possibly out of range
 7.95032, 100.109,  42.498, Sun position possibly out of range
 7.96699,  89.835, -17.823, Rotor position possibly out of range
 7.96699, 100.317,  42.668, Sun position possibly out of range
 7.98367,  85.695, -17.654, Rotor position possibly out of range
 7.98367, 100.527,  42.838, Sun position possibly out of range
 8.00032, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00034, 145.000,  77.000, New tracking position
 8.01697, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.01699, 145.000, -14.000, New tracking position
 8.03364, 101.159,  43.348, Back to the Sun
 8.03367,  82.037, -17.144, Rotor position possibly out of range
 8.03367, 101.159,  43.348, Sun position possibly out of range
 8.05034,  81.508, -16.974, Rotor position possibly out of range
 8.05034, 101.371,  43.517, Sun position possibly out of range
 8.06700,  81.106, -16.805, Rotor position possibly out of range
 8.06700, 101.584,  43.687, Sun position possibly out of range
 8.08367,  80.796, -16.636, Rotor position possibly out of range
 8.08367, 101.798,  43.856, Sun position possibly out of range
 8.10034,  80.563, -16.466, Rotor position possibly out of range
 8.10034, 102.013,  44.026, Sun position possibly out of range
 8.11701,  80.404, -16.297, Rotor position possibly out of range
 8.11701, 102.228,  44.195, Sun position possibly out of range
 8.13368,  80.328, -16.128, Rotor position possibly out of range
 8.13368, 102.445,  44.364, Sun position possibly out of range
 8.15035,  80.357, -15.959, Rotor position possibly out of range
 8.15035, 102.662,  44.533, Sun position possibly out of range
 8.16675,  80.536, -15.793, Rotor position possibly out of range
 8.16675, 102.876,  44.699, Sun position possibly out of range
 8.18342,  80.968, -15.625, Rotor position possibly out of range
 8.18342, 103.095,  44.867, Sun position possibly out of range
 8.20009,  81.887, -15.456, Rotor position possibly out of range
 8.20009, 103.315,  45.036, Sun position possibly out of range
 8.21676,  80.117, -15.288, Rotor position possibly out of range
 8.21676, 103.536,  45.204, Sun position possibly out of range
 8.23342,  79.906, -15.120, Rotor position possibly out of range
 8.23342, 103.757,  45.372, Sun position possibly out of range
 8.25007, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.25009, 145.000,  77.000, New tracking position
 8.26673, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.26675, 145.000, -14.000, New tracking position
 8.28340, 104.427,  45.875, Back to the Sun
 8.28342,  79.269, -14.617, Rotor position possibly out of range
 8.28342, 104.427,  45.875, Sun position possibly out of range
 8.30009,  79.055, -14.449, Rotor position possibly out of range
 8.30009, 104.653,  46.043, Sun position possibly out of range
 8.31676,  78.840, -14.282, Rotor position possibly out of range
 8.31676, 104.879,  46.210, Sun position possibly out of range
 8.33342,  78.624, -14.115, Rotor position possibly out of range
 8.33342, 105.106,  46.377, Sun position possibly out of range
 8.35009,  78.407, -13.948, Rotor position possibly out of range
 8.35009, 105.334,  46.544, Sun position possibly out of range
