DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 183.400,  60.500, Reference positions.

 7.00019, 145.000,  77.000, New tracking position
 7.01687, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01689, 145.000, -14.000, New tracking position
 7.03355,  94.192,  31.051, Back to the Sun
 7.03357,  89.208, -29.440, Rotor position possibly out of range
 7.03357,  94.192,  31.051, Sun position possibly out of range
 7.05025,  89.019, -29.267, Rotor position possibly out of range
 7.05025,  94.381,  31.224, Sun position possibly out of range
 7.06693,  88.831, -29.095, Rotor position possibly out of range
 7.06693,  94.569,  31.396, Sun position possibly out of range
 7.08362,  88.642, -28.922, Rotor position possibly out of range
 7.08362,  94.758,  31.569, Sun position possibly out of range
 7.10030,  88.453, -28.750, Rotor position possibly out of range
 7.10030,  94.947,  31.741, Sun position possibly out of range
 7.11699,  88.260, -28.575, Rotor position possibly out of range
 7.11699,  95.140,  31.916, Sun position possibly out of range
 7.13366,  88.070, -28.402, Rotor position possibly out of range
 7.13366,  95.330,  32.089, Sun position possibly out of range
 7.15036,  87.880, -28.230, Rotor position possibly out of range
 7.15036,  95.520,  32.261, Sun position possibly out of range
 7.16675,  87.692, -28.061, Rotor position possibly out of range
 7.16675,  95.708,  32.430, Sun position possibly out of range
 7.18343,  87.500, -27.889, Rotor position possibly out of range
 7.18343,  95.900,  32.603, Sun position possibly out of range
 7.20012,  87.309, -27.717, Rotor position possibly out of range
 7.20012,  96.091,  32.775, Sun position possibly out of range
 7.21679,  87.116, -27.544, Rotor position possibly out of range
 7.21680,  96.284,  32.947, Sun position possibly out of range
 7.23348,  86.924, -27.372, Rotor position possibly out of range
 7.23348,  96.476,  33.119, Sun position possibly out of range
 7.25012, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25014, 145.000,  77.000, New tracking position
 7.26681, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26682, 145.000, -14.000, New tracking position
 7.28349,  97.057,  33.634, Back to the Sun
 7.28351,  86.343, -26.857, Rotor position possibly out of range
 7.28351,  97.057,  33.634, Sun position possibly out of range
 7.30020,  86.148, -26.685, Rotor position possibly out of range
 7.30020,  97.252,  33.806, Sun position possibly out of range
 7.31689,  85.953, -26.514, Rotor position possibly out of range
 7.31689,  97.447,  33.978, Sun position possibly out of range
 7.33357,  85.758, -26.342, Rotor position possibly out of range
 7.33357,  97.642,  34.149, Sun position possibly out of range
 7.35025,  85.561, -26.171, Rotor position possibly out of range
 7.35025,  97.839,  34.321, Sun position possibly out of range
 7.36694,  85.365, -25.999, Rotor position possibly out of range
 7.36694,  98.035,  34.492, Sun position possibly out of range
 7.38362,  85.168, -25.828, Rotor position possibly out of range
 7.38362,  98.232,  34.664, Sun position possibly out of range
 7.40031,  84.967, -25.654, Rotor position possibly out of range
 7.40031,  98.433,  34.838, Sun position possibly out of range
 7.41701,  84.769, -25.483, Rotor position possibly out of range
 7.41701,  98.631,  35.009, Sun position possibly out of range
 7.43343,  84.573, -25.314, Rotor position possibly out of range
 7.43343,  98.827,  35.177, Sun position possibly out of range
 7.45011,  84.374, -25.143, Rotor position possibly out of range
 7.45011,  99.026,  35.348, Sun position possibly out of range
 7.46681,  84.174, -24.972, Rotor position possibly out of range
 7.46681,  99.226,  35.519, Sun position possibly out of range
 7.48347,  83.974, -24.802, Rotor position possibly out of range
 7.48347,  99.426,  35.690, Sun position possibly out of range
 7.50015, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50017, 145.000,  77.000, New tracking position
 7.51684, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51686, 145.000, -14.000, New tracking position
 7.53352, 100.030,  36.202, Back to the Sun
 7.53354,  83.370, -24.290, Rotor position possibly out of range
 7.53354, 100.030,  36.202, Sun position possibly out of range
 7.55022,  83.167, -24.120, Rotor position possibly out of range
 7.55022, 100.233,  36.372, Sun position possibly out of range
 7.56691,  82.964, -23.949, Rotor position possibly out of range
 7.56691, 100.436,  36.542, Sun position possibly out of range
 7.58360,  82.761, -23.779, Rotor position possibly out of range
 7.58360, 100.639,  36.713, Sun position possibly out of range
 7.60028,  82.556, -23.609, Rotor position possibly out of range
 7.60028, 100.844,  36.883, Sun position possibly out of range
 7.61696,  82.351, -23.439, Rotor position possibly out of range
 7.61696, 101.049,  37.053, Sun position possibly out of range
 7.63364,  82.142, -23.266, Rotor position possibly out of range
 7.63364, 101.258,  37.225, Sun position possibly out of range
 7.65035,  81.936, -23.097, Rotor position possibly out of range
 7.65035, 101.464,  37.395, Sun position possibly out of range
 7.66676,  81.733, -22.930, Rotor position possibly out of range
 7.66676, 101.667,  37.562, Sun position possibly out of range
 7.68347,  81.525, -22.761, Rotor position possibly out of range
 7.68347, 101.875,  37.731, Sun position possibly out of range
 7.70017,  81.317, -22.591, Rotor position possibly out of range
 7.70017, 102.083,  37.901, Sun position possibly out of range
 7.71684,  81.109, -22.422, Rotor position possibly out of range
 7.71684, 102.291,  38.070, Sun position possibly out of range
 7.73351,  80.899, -22.253, Rotor position possibly out of range
 7.73351, 102.501,  38.239, Sun position possibly out of range
 7.75017, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75019, 145.000,  77.000, New tracking position
 7.76687, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76689, 145.000, -14.000, New tracking position
 7.78356, 103.133,  38.745, Back to the Sun
 7.78358,  80.267, -21.747, Rotor position possibly out of range
 7.78358, 103.133,  38.745, Sun position possibly out of range
 7.80026,  80.055, -21.578, Rotor position possibly out of range
 7.80026, 103.345,  38.914, Sun position possibly out of range
 7.81696,  79.842, -21.410, Rotor position possibly out of range
 7.81696, 103.558,  39.082, Sun position possibly out of range
 7.83365,  79.625, -21.239, Rotor position possibly out of range
 7.83365, 103.775,  39.253, Sun position possibly out of range
 7.85035,  79.411, -21.071, Rotor position possibly out of range
 7.85035, 103.989,  39.421, Sun position possibly out of range
 7.86676,  79.199, -20.906, Rotor position possibly out of range
 7.86676, 104.201,  39.586, Sun position possibly out of range
 7.88345,  78.984, -20.738, Rotor position possibly out of range
 7.88345, 104.416,  39.754, Sun position possibly out of range
 7.90014,  78.767, -20.570, Rotor position possibly out of range
 7.90014, 104.633,  39.922, Sun position possibly out of range
 7.91682,  78.550, -20.403, Rotor position possibly out of range
 7.91682, 104.850,  40.089, Sun position possibly out of range
 7.93352,  78.332, -20.236, Rotor position possibly out of range
 7.93352, 105.068,  40.256, Sun position possibly out of range
 7.95017,  78.114, -20.069, Rotor position possibly out of range
 7.95017, 105.286,  40.424, Sun position possibly out of range
 7.96686,  77.894, -19.902, Rotor position possibly out of range
 7.96686, 105.506,  40.591, Sun position possibly out of range
 7.98355,  77.674, -19.735, Rotor position possibly out of range
 7.98355, 105.726,  40.757, Sun position possibly out of range
 8.00024, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00026, 145.000,  77.000, New tracking position
