DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00028, 186.300,  60.500, Reference positions.

 7.00031, 145.000,  77.000, New tracking position
 7.01696, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01698, 145.000, -14.000, New tracking position
 7.03362,  89.424,  32.920, Back to the Sun
 7.03365,  93.642, -27.571, Rotor position possibly out of range
 7.03365,  89.424,  32.920, Sun position possibly out of range
 7.05031,  93.469, -27.398, Rotor position possibly out of range
 7.05032,  89.603,  33.093, Sun position possibly out of range
 7.06700,  93.295, -27.225, Rotor position possibly out of range
 7.06700,  89.783,  33.266, Sun position possibly out of range
 7.08367,  93.121, -27.052, Rotor position possibly out of range
 7.08367,  89.963,  33.438, Sun position possibly out of range
 7.10034,  92.947, -26.879, Rotor position possibly out of range
 7.10034,  90.143,  33.611, Sun position possibly out of range
 7.11700,  92.772, -26.706, Rotor position possibly out of range
 7.11700,  90.324,  33.784, Sun position possibly out of range
 7.13367,  92.597, -26.533, Rotor position possibly out of range
 7.13367,  90.505,  33.957, Sun position possibly out of range
 7.15034,  92.422, -26.361, Rotor position possibly out of range
 7.15034,  90.687,  34.130, Sun position possibly out of range
 7.16700,  92.247, -26.188, Rotor position possibly out of range
 7.16700,  90.869,  34.303, Sun position possibly out of range
 7.18367,  92.071, -26.015, Rotor position possibly out of range
 7.18367,  91.051,  34.476, Sun position possibly out of range
 7.20034,  91.895, -25.842, Rotor position possibly out of range
 7.20034,  91.234,  34.649, Sun position possibly out of range
 7.21701,  91.718, -25.669, Rotor position possibly out of range
 7.21701,  91.417,  34.822, Sun position possibly out of range
 7.23341,  91.544, -25.499, Rotor position possibly out of range
 7.23341,  91.597,  34.992, Sun position possibly out of range
 7.25005, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25007, 145.000,  77.000, New tracking position
 7.26672, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26674, 145.000, -14.000, New tracking position
 7.28338,  92.150,  35.511, Back to the Sun
 7.28341,  91.011, -24.980, Rotor position possibly out of range
 7.28341,  92.150,  35.511, Sun position possibly out of range
 7.30008,  90.833, -24.808, Rotor position possibly out of range
 7.30008,  92.335,  35.683, Sun position possibly out of range
 7.31675,  90.654, -24.635, Rotor position possibly out of range
 7.31675,  92.521,  35.856, Sun position possibly out of range
 7.33341,  90.475, -24.462, Rotor position possibly out of range
 7.33341,  92.707,  36.029, Sun position possibly out of range
 7.35008,  90.296, -24.289, Rotor position possibly out of range
 7.35008,  92.894,  36.202, Sun position possibly out of range
 7.36674,  90.116, -24.117, Rotor position possibly out of range
 7.36674,  93.081,  36.374, Sun position possibly out of range
 7.38341,  89.935, -23.944, Rotor position possibly out of range
 7.38341,  93.268,  36.547, Sun position possibly out of range
 7.40008,  89.755, -23.771, Rotor position possibly out of range
 7.40008,  93.456,  36.720, Sun position possibly out of range
 7.41675,  89.574, -23.599, Rotor position possibly out of range
 7.41675,  93.644,  36.892, Sun position possibly out of range
 7.43342,  89.392, -23.426, Rotor position possibly out of range
 7.43342,  93.833,  37.065, Sun position possibly out of range
 7.45008,  89.210, -23.253, Rotor position possibly out of range
 7.45008,  94.022,  37.238, Sun position possibly out of range
 7.46675,  89.028, -23.081, Rotor position possibly out of range
 7.46675,  94.212,  37.410, Sun position possibly out of range
 7.48342,  88.845, -22.909, Rotor position possibly out of range
 7.48342,  94.402,  37.583, Sun position possibly out of range
 7.50006, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50008, 145.000,  77.000, New tracking position
 7.51673, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51675, 145.000, -14.000, New tracking position
 7.53340,  94.976,  38.100, Back to the Sun
 7.53343,  88.294, -22.391, Rotor position possibly out of range
 7.53343,  94.976,  38.100, Sun position possibly out of range
 7.55010,  88.109, -22.219, Rotor position possibly out of range
 7.55010,  95.169,  38.272, Sun position possibly out of range
 7.56676,  87.924, -22.047, Rotor position possibly out of range
 7.56676,  95.362,  38.444, Sun position possibly out of range
 7.58344,  87.739, -21.875, Rotor position possibly out of range
 7.58344,  95.555,  38.617, Sun position possibly out of range
 7.60011,  87.553, -21.703, Rotor position possibly out of range
 7.60011,  95.749,  38.789, Sun position possibly out of range
 7.61679,  87.366, -21.531, Rotor position possibly out of range
 7.61679,  95.944,  38.961, Sun position possibly out of range
 7.63346,  87.179, -21.359, Rotor position possibly out of range
 7.63346,  96.139,  39.133, Sun position possibly out of range
 7.65012,  86.991, -21.187, Rotor position possibly out of range
 7.65012,  96.334,  39.305, Sun position possibly out of range
 7.66679,  86.803, -21.015, Rotor position possibly out of range
 7.66679,  96.531,  39.477, Sun position possibly out of range
 7.68346,  86.615, -20.843, Rotor position possibly out of range
 7.68346,  96.727,  39.648, Sun position possibly out of range
 7.70013,  86.426, -20.671, Rotor position possibly out of range
 7.70013,  96.925,  39.820, Sun position possibly out of range
 7.71679,  86.236, -20.500, Rotor position possibly out of range
 7.71679,  97.123,  39.992, Sun position possibly out of range
 7.73347,  86.046, -20.328, Rotor position possibly out of range
 7.73347,  97.322,  40.163, Sun position possibly out of range
 7.75012, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75014, 145.000,  77.000, New tracking position
 7.76680, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76682, 145.000, -14.000, New tracking position
 7.78346,  97.921,  40.678, Back to the Sun
 7.78349,  85.472, -19.814, Rotor position possibly out of range
 7.78349,  97.921,  40.678, Sun position possibly out of range
 7.80015,  85.280, -19.642, Rotor position possibly out of range
 7.80015,  98.122,  40.849, Sun position possibly out of range
 7.81681,  85.087, -19.471, Rotor position possibly out of range
 7.81681,  98.324,  41.020, Sun position possibly out of range
 7.83350,  84.893, -19.300, Rotor position possibly out of range
 7.83350,  98.527,  41.191, Sun position possibly out of range
 7.85017,  84.699, -19.129, Rotor position possibly out of range
 7.85017,  98.730,  41.362, Sun position possibly out of range
 7.86686,  84.504, -18.958, Rotor position possibly out of range
 7.86686,  98.933,  41.533, Sun position possibly out of range
 7.88353,  84.309, -18.787, Rotor position possibly out of range
 7.88353,  99.138,  41.704, Sun position possibly out of range
