DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 186.300,  60.500, Reference positions.

 7.00021, 145.000,  77.000, New tracking position
 7.01686, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01687, 145.000, -14.000, New tracking position
 7.03353,  89.346,  32.582, Back to the Sun
 7.03355,  93.708, -27.909, Rotor position possibly out of range
 7.03355,  89.346,  32.582, Sun position possibly out of range
 7.05022,  93.535, -27.736, Rotor position possibly out of range
 7.05023,  89.525,  32.755, Sun position possibly out of range
 7.06690,  93.361, -27.563, Rotor position possibly out of range
 7.06690,  89.705,  32.928, Sun position possibly out of range
 7.08356,  93.187, -27.390, Rotor position possibly out of range
 7.08356,  89.885,  33.101, Sun position possibly out of range
 7.10024,  93.013, -27.217, Rotor position possibly out of range
 7.10024,  90.065,  33.274, Sun position possibly out of range
 7.11693,  92.839, -27.044, Rotor position possibly out of range
 7.11693,  90.246,  33.447, Sun position possibly out of range
 7.13359,  92.664, -26.871, Rotor position possibly out of range
 7.13359,  90.427,  33.620, Sun position possibly out of range
 7.15027,  92.489, -26.698, Rotor position possibly out of range
 7.15027,  90.608,  33.792, Sun position possibly out of range
 7.16694,  92.313, -26.525, Rotor position possibly out of range
 7.16694,  90.790,  33.965, Sun position possibly out of range
 7.18362,  92.137, -26.353, Rotor position possibly out of range
 7.18362,  90.972,  34.138, Sun position possibly out of range
 7.20029,  91.961, -26.180, Rotor position possibly out of range
 7.20029,  91.154,  34.311, Sun position possibly out of range
 7.21695,  91.785, -26.007, Rotor position possibly out of range
 7.21695,  91.337,  34.484, Sun position possibly out of range
 7.23363,  91.608, -25.834, Rotor position possibly out of range
 7.23363,  91.521,  34.657, Sun position possibly out of range
 7.25027, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25029, 145.000,  77.000, New tracking position
 7.26695, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26697, 145.000, -14.000, New tracking position
 7.28363,  92.076,  35.178, Back to the Sun
 7.28365,  91.072, -25.313, Rotor position possibly out of range
 7.28365,  92.076,  35.178, Sun position possibly out of range
 7.30032,  90.894, -25.140, Rotor position possibly out of range
 7.30032,  92.261,  35.351, Sun position possibly out of range
 7.31700,  90.715, -24.967, Rotor position possibly out of range
 7.31700,  92.447,  35.524, Sun position possibly out of range
 7.33365,  90.536, -24.794, Rotor position possibly out of range
 7.33365,  92.633,  35.697, Sun position possibly out of range
 7.35033,  90.357, -24.621, Rotor position possibly out of range
 7.35033,  92.819,  35.869, Sun position possibly out of range
 7.36700,  90.177, -24.449, Rotor position possibly out of range
 7.36700,  93.006,  36.042, Sun position possibly out of range
 7.38341,  90.000, -24.279, Rotor position possibly out of range
 7.38341,  93.190,  36.212, Sun position possibly out of range
 7.40008,  89.819, -24.106, Rotor position possibly out of range
 7.40008,  93.377,  36.385, Sun position possibly out of range
 7.41675,  89.638, -23.934, Rotor position possibly out of range
 7.41675,  93.565,  36.557, Sun position possibly out of range
 7.43341,  89.457, -23.761, Rotor position possibly out of range
 7.43341,  93.754,  36.730, Sun position possibly out of range
 7.45008,  89.275, -23.589, Rotor position possibly out of range
 7.45008,  93.943,  36.902, Sun position possibly out of range
 7.46676,  89.093, -23.416, Rotor position possibly out of range
 7.46676,  94.133,  37.075, Sun position possibly out of range
 7.48342,  88.910, -23.244, Rotor position possibly out of range
 7.48342,  94.323,  37.247, Sun position possibly out of range
 7.50008, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50010, 145.000,  77.000, New tracking position
 7.51674, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51676, 145.000, -14.000, New tracking position
 7.53341,  94.896,  37.765, Back to the Sun
 7.53344,  88.360, -22.727, Rotor position possibly out of range
 7.53344,  94.896,  37.765, Sun position possibly out of range
 7.55012,  88.175, -22.554, Rotor position possibly out of range
 7.55012,  95.088,  37.937, Sun position possibly out of range
 7.56678,  87.990, -22.382, Rotor position possibly out of range
 7.56678,  95.280,  38.109, Sun position possibly out of range
 7.58346,  87.805, -22.210, Rotor position possibly out of range
 7.58346,  95.473,  38.281, Sun position possibly out of range
 7.60013,  87.619, -22.038, Rotor position possibly out of range
 7.60013,  95.667,  38.454, Sun position possibly out of range
 7.61680,  87.433, -21.866, Rotor position possibly out of range
 7.61680,  95.861,  38.626, Sun position possibly out of range
 7.63347,  87.246, -21.694, Rotor position possibly out of range
 7.63347,  96.056,  38.798, Sun position possibly out of range
 7.65014,  87.059, -21.522, Rotor position possibly out of range
 7.65014,  96.251,  38.970, Sun position possibly out of range
 7.66680,  86.871, -21.350, Rotor position possibly out of range
 7.66680,  96.447,  39.142, Sun position possibly out of range
 7.68346,  86.683, -21.178, Rotor position possibly out of range
 7.68346,  96.644,  39.313, Sun position possibly out of range
 7.70014,  86.494, -21.006, Rotor position possibly out of range
 7.70014,  96.841,  39.485, Sun position possibly out of range
 7.71680,  86.304, -20.835, Rotor position possibly out of range
 7.71680,  97.038,  39.657, Sun position possibly out of range
 7.73347,  86.114, -20.663, Rotor position possibly out of range
 7.73347,  97.237,  39.828, Sun position possibly out of range
 7.75011, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75013, 145.000,  77.000, New tracking position
 7.76678, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76680, 145.000, -14.000, New tracking position
 7.78345,  97.835,  40.343, Back to the Sun
 7.78347,  85.541, -20.149, Rotor position possibly out of range
 7.78347,  97.835,  40.343, Sun position possibly out of range
 7.80015,  85.349, -19.977, Rotor position possibly out of range
 7.80015,  98.036,  40.514, Sun position possibly out of range
 7.81681,  85.157, -19.806, Rotor position possibly out of range
 7.81681,  98.237,  40.685, Sun position possibly out of range
 7.83350,  84.963, -19.635, Rotor position possibly out of range
 7.83350,  98.439,  40.857, Sun position possibly out of range
 7.85016,  84.770, -19.464, Rotor position possibly out of range
 7.85016,  98.642,  41.028, Sun position possibly out of range
 7.86683,  84.575, -19.293, Rotor position possibly out of range
 7.86683,  98.845,  41.199, Sun position possibly out of range
 7.88350,  84.380, -19.122, Rotor position possibly out of range
 7.88350,  99.049,  41.369, Sun position possibly out of range
 7.90016,  84.185, -18.951, Rotor position possibly out of range
 7.90016,  99.254,  41.540, Sun position possibly out of range
 7.91683,  83.988, -18.781, Rotor position possibly out of range
 7.91683,  99.459,  41.711, Sun position possibly out of range
 7.93350,  83.791, -18.610, Rotor position possibly out of range
 7.93350,  99.665,  41.881, Sun position possibly out of range
 7.95018,  83.594, -18.440, Rotor position possibly out of range
 7.95018,  99.872,  42.052, Sun position possibly out of range
 7.96685,  83.396, -18.269, Rotor position possibly out of range
 7.96685, 100.079,  42.222, Sun position possibly out of range
 7.98352,  83.197, -18.099, Rotor position possibly out of range
 7.98352, 100.288,  42.393, Sun position possibly out of range
 8.00019, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00021, 145.000,  77.000, New tracking position
 8.01686, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.01688, 145.000, -14.000, New tracking position
 8.03353, 100.917,  42.903, Back to the Sun
 8.03356,  82.597, -17.589, Rotor position possibly out of range
 8.03356, 100.917,  42.903, Sun position possibly out of range
 8.05022,  82.395, -17.419, Rotor position possibly out of range
 8.05022, 101.128,  43.072, Sun position possibly out of range
 8.06689,  82.193, -17.250, Rotor position possibly out of range
 8.06689, 101.340,  43.242, Sun position possibly out of range
 8.08357,  81.990, -17.080, Rotor position possibly out of range
 8.08357, 101.553,  43.412, Sun position possibly out of range
 8.10024,  81.786, -16.911, Rotor position possibly out of range
 8.10024, 101.766,  43.581, Sun position possibly out of range
 8.11691,  81.582, -16.742, Rotor position possibly out of range
 8.11691, 101.980,  43.750, Sun position possibly out of range
 8.13357,  81.377, -16.572, Rotor position possibly out of range
 8.13357, 102.196,  43.919, Sun position possibly out of range
 8.15024,  81.171, -16.403, Rotor position possibly out of range
 8.15024, 102.412,  44.088, Sun position possibly out of range
 8.16691,  80.965, -16.235, Rotor position possibly out of range
 8.16691, 102.628,  44.257, Sun position possibly out of range
 8.18358,  80.758, -16.066, Rotor position possibly out of range
 8.18358, 102.846,  44.426, Sun position possibly out of range
 8.20025,  80.549, -15.897, Rotor position possibly out of range
 8.20025, 103.064,  44.595, Sun position possibly out of range
 8.21692,  80.341, -15.729, Rotor position possibly out of range
 8.21692, 103.284,  44.763, Sun position possibly out of range
 8.23359,  80.131, -15.561, Rotor position possibly out of range
 8.23359, 103.504,  44.931, Sun position possibly out of range
 8.25025, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.25027, 145.000,  77.000, New tracking position
 8.26691, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.26693, 145.000, -14.000, New tracking position
 8.28357, 104.170,  45.435, Back to the Sun
