DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00028, 186.300,  60.500, Reference positions.

 7.00030, 145.000,  77.000, New tracking position
 7.01697, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01699, 145.000, -14.000, New tracking position
 7.03363,  89.875,  33.118, Back to the Sun
 7.03365,  89.875,  33.118, New tracking position
 7.05032,  81.351, -27.201, Rotor position possibly out of range
 7.05032,  90.056,  33.291, Sun position possibly out of range
 7.06699,  84.160, -27.028, Rotor position possibly out of range
 7.06699,  90.236,  33.464, Sun position possibly out of range
 7.08366,  85.331, -26.855, Rotor position possibly out of range
 7.08366,  90.417,  33.637, Sun position possibly out of range
 7.10032,  85.892, -26.682, Rotor position possibly out of range
 7.10032,  90.599,  33.810, Sun position possibly out of range
 7.11699,  86.154, -26.509, Rotor position possibly out of range
 7.11699,  90.780,  33.983, Sun position possibly out of range
 7.13366,  86.241, -26.336, Rotor position possibly out of range
 7.13366,  90.962,  34.156, Sun position possibly out of range
 7.15033,  86.213, -26.163, Rotor position possibly out of range
 7.15033,  91.145,  34.329, Sun position possibly out of range
 7.16699,  86.095, -25.990, Rotor position possibly out of range
 7.16699,  91.328,  34.502, Sun position possibly out of range
 7.18366,  85.898, -25.817, Rotor position possibly out of range
 7.18366,  91.511,  34.674, Sun position possibly out of range
 7.20033,  85.620, -25.644, Rotor position possibly out of range
 7.20033,  91.695,  34.847, Sun position possibly out of range
 7.21700,  85.245, -25.471, Rotor position possibly out of range
 7.21700,  91.879,  35.020, Sun position possibly out of range
 7.23366,  84.739, -25.298, Rotor position possibly out of range
 7.23366,  92.063,  35.193, Sun position possibly out of range
 7.25031, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25033, 145.000,  77.000, New tracking position
 7.26697, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26699, 145.000, -14.000, New tracking position
 7.28364,  92.619,  35.712, Back to the Sun
 7.28367,  81.022, -24.780, Rotor position possibly out of range
 7.28367,  92.619,  35.712, Sun position possibly out of range
 7.30034,  92.805,  35.884, New tracking position
 7.31674,  92.989,  36.054, New tracking position
 7.33341, 112.916, -24.262, Rotor position possibly out of range
 7.33341,  93.176,  36.227, Sun position possibly out of range
 7.35009,  96.233, -24.091, Rotor position possibly out of range
 7.35009,  93.363,  36.400, Sun position possibly out of range
 7.36675,  92.437, -23.918, Rotor position possibly out of range
 7.36675,  93.551,  36.572, Sun position possibly out of range
 7.38342,  90.709, -23.746, Rotor position possibly out of range
 7.38342,  93.740,  36.745, Sun position possibly out of range
 7.40009,  89.696, -23.573, Rotor position possibly out of range
 7.40009,  93.929,  36.918, Sun position possibly out of range
 7.41677,  89.019, -23.401, Rotor position possibly out of range
 7.41677,  94.118,  37.090, Sun position possibly out of range
 7.43344,  88.531, -23.228, Rotor position possibly out of range
 7.43344,  94.308,  37.263, Sun position possibly out of range
 7.45012,  88.167, -23.056, Rotor position possibly out of range
 7.45012,  94.499,  37.435, Sun position possibly out of range
 7.46679,  87.895, -22.883, Rotor position possibly out of range
 7.46679,  94.690,  37.608, Sun position possibly out of range
 7.48346,  87.701, -22.711, Rotor position possibly out of range
 7.48346,  94.881,  37.780, Sun position possibly out of range
 7.50011, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50013, 145.000,  77.000, New tracking position
 7.51678, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51681, 145.000, -14.000, New tracking position
 7.53346,  95.459,  38.297, Back to the Sun
 7.53349,  87.655, -22.194, Rotor position possibly out of range
 7.53349,  95.459,  38.297, Sun position possibly out of range
 7.55015,  87.933, -22.022, Rotor position possibly out of range
 7.55015,  95.652,  38.469, Sun position possibly out of range
 7.56683,  88.531, -21.850, Rotor position possibly out of range
 7.56683,  95.846,  38.641, Sun position possibly out of range
 7.58350,  89.797, -21.678, Rotor position possibly out of range
 7.58350,  96.041,  38.813, Sun position possibly out of range
 7.60018,  92.934, -21.505, Rotor position possibly out of range
 7.60018,  96.236,  38.985, Sun position possibly out of range
 7.61685, 106.490, -21.332, Rotor position possibly out of range
 7.61685,  96.432,  39.157, Sun position possibly out of range
 7.63352,  96.628,  39.329, New tracking position
 7.65019,  96.825,  39.501, New tracking position
 7.66686,  97.023,  39.673, New tracking position
 7.68354,  78.044, -20.648, Rotor position possibly out of range
 7.68354,  97.221,  39.845, Sun position possibly out of range
 7.70021,  78.789, -20.476, Rotor position possibly out of range
 7.70021,  97.420,  40.016, Sun position possibly out of range
 7.71688,  79.141, -20.304, Rotor position possibly out of range
 7.71688,  97.619,  40.188, Sun position possibly out of range
 7.73355,  79.277, -20.133, Rotor position possibly out of range
 7.73355,  97.819,  40.359, Sun position possibly out of range
 7.75020, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75022, 145.000,  77.000, New tracking position
 7.76687, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76689, 145.000, -14.000, New tracking position
 7.78355,  98.423,  40.873, Back to the Sun
 7.78357,  79.002, -19.619, Rotor position possibly out of range
 7.78357,  98.423,  40.873, Sun position possibly out of range
 7.80024,  78.747, -19.448, Rotor position possibly out of range
 7.80024,  98.625,  41.044, Sun position possibly out of range
 7.81691,  78.406, -19.277, Rotor position possibly out of range
 7.81691,  98.829,  41.215, Sun position possibly out of range
 7.83357,  77.958, -19.106, Rotor position possibly out of range
 7.83357,  99.033,  41.386, Sun position possibly out of range
 7.85026,  77.352, -18.935, Rotor position possibly out of range
 7.85026,  99.237,  41.557, Sun position possibly out of range
 7.86692,  99.442,  41.728, New tracking position
 7.88360,  99.648,  41.898, New tracking position
 7.90026,  99.855,  42.069, New tracking position
 7.91694, 100.062,  42.239, New tracking position
 7.93361,-1125.266, -18.203, Rotor position possibly out of range
 7.93361, 100.270,  42.409, Sun position possibly out of range
 7.95028,  94.906, -17.911, Rotor position possibly out of range
 7.95028, 100.479,  42.580, Sun position possibly out of range
 7.96696,  87.069, -17.742, Rotor position possibly out of range
 7.96696, 100.689,  42.750, Sun position possibly out of range
 7.98363,  84.390, -17.572, Rotor position possibly out of range
 7.98363, 100.899,  42.920, Sun position possibly out of range
