DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00028, 183.400,  60.500, Reference positions.

 7.00032, 145.000,  77.000, New tracking position
 7.01697, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01699, 145.000, -14.000, New tracking position
 7.03364,  92.503,  32.193, Back to the Sun
 7.03366,  90.897, -28.298, Rotor position possibly out of range
 7.03366,  92.503,  32.193, Sun position possibly out of range
 7.05033,  90.711, -28.125, Rotor position possibly out of range
 7.05034,  92.689,  32.366, Sun position possibly out of range
 7.06700,  90.526, -27.952, Rotor position possibly out of range
 7.06700,  92.874,  32.539, Sun position possibly out of range
 7.08366,  90.340, -27.779, Rotor position possibly out of range
 7.08366,  93.060,  32.712, Sun position possibly out of range
 7.10033,  90.153, -27.606, Rotor position possibly out of range
 7.10033,  93.247,  32.885, Sun position possibly out of range
 7.11674,  89.970, -27.437, Rotor position possibly out of range
 7.11674,  93.430,  33.054, Sun position possibly out of range
 7.13342,  89.783, -27.264, Rotor position possibly out of range
 7.13342,  93.617,  33.227, Sun position possibly out of range
 7.15012,  89.595, -27.091, Rotor position possibly out of range
 7.15012,  93.805,  33.400, Sun position possibly out of range
 7.16682,  89.407, -26.919, Rotor position possibly out of range
 7.16682,  93.993,  33.572, Sun position possibly out of range
 7.18349,  89.219, -26.746, Rotor position possibly out of range
 7.18349,  94.181,  33.745, Sun position possibly out of range
 7.20016,  89.030, -26.573, Rotor position possibly out of range
 7.20016,  94.370,  33.918, Sun position possibly out of range
 7.21685,  88.840, -26.401, Rotor position possibly out of range
 7.21685,  94.560,  34.090, Sun position possibly out of range
 7.23353,  88.651, -26.229, Rotor position possibly out of range
 7.23353,  94.749,  34.263, Sun position possibly out of range
 7.25017, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25019, 145.000,  77.000, New tracking position
 7.26684, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26686, 145.000, -14.000, New tracking position
 7.28350,  95.321,  34.780, Back to the Sun
 7.28353,  88.079, -25.711, Rotor position possibly out of range
 7.28353,  95.321,  34.780, Sun position possibly out of range
 7.30020,  87.887, -25.539, Rotor position possibly out of range
 7.30020,  95.513,  34.952, Sun position possibly out of range
 7.31686,  87.695, -25.367, Rotor position possibly out of range
 7.31686,  95.705,  35.124, Sun position possibly out of range
 7.33353,  87.502, -25.195, Rotor position possibly out of range
 7.33353,  95.898,  35.296, Sun position possibly out of range
 7.35020,  87.309, -25.023, Rotor position possibly out of range
 7.35020,  96.091,  35.469, Sun position possibly out of range
 7.36690,  87.116, -24.851, Rotor position possibly out of range
 7.36690,  96.284,  35.641, Sun position possibly out of range
 7.38357,  86.922, -24.679, Rotor position possibly out of range
