DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 183.400,  60.500, Reference positions.

 7.00011, 145.000,  77.000, New tracking position
 7.01678, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01680, 145.000, -14.000, New tracking position
 7.03345,  91.992,  32.468, Back to the Sun
 7.03347,  91.408, -28.023, Rotor position possibly out of range
 7.03347,  91.992,  32.468, Sun position possibly out of range
 7.05014,  91.223, -27.850, Rotor position possibly out of range
 7.05014,  92.177,  32.640, Sun position possibly out of range
 7.06680,  91.039, -27.678, Rotor position possibly out of range
 7.06680,  92.361,  32.813, Sun position possibly out of range
 7.08351,  90.854, -27.505, Rotor position possibly out of range
 7.08351,  92.546,  32.986, Sun position possibly out of range
 7.10017,  90.668, -27.332, Rotor position possibly out of range
 7.10017,  92.732,  33.159, Sun position possibly out of range
 7.11684,  90.482, -27.159, Rotor position possibly out of range
 7.11684,  92.918,  33.332, Sun position possibly out of range
 7.13351,  90.296, -26.986, Rotor position possibly out of range
 7.13351,  93.104,  33.505, Sun position possibly out of range
 7.15018,  90.110, -26.814, Rotor position possibly out of range
 7.15018,  93.290,  33.677, Sun position possibly out of range
 7.16685,  89.923, -26.641, Rotor position possibly out of range
 7.16685,  93.477,  33.850, Sun position possibly out of range
 7.18357,  89.735, -26.468, Rotor position possibly out of range
 7.18357,  93.665,  34.023, Sun position possibly out of range
 7.20026,  89.547, -26.296, Rotor position possibly out of range
 7.20026,  93.853,  34.196, Sun position possibly out of range
 7.21695,  89.359, -26.123, Rotor position possibly out of range
 7.21695,  94.041,  34.368, Sun position possibly out of range
 7.23365,  89.167, -25.947, Rotor position possibly out of range
 7.23365,  94.233,  34.544, Sun position possibly out of range
 7.25030, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25031, 145.000,  77.000, New tracking position
 7.26698, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26700, 145.000, -14.000, New tracking position
 7.28338,  94.799,  35.058, Back to the Sun
 7.28341,  88.601, -25.433, Rotor position possibly out of range
 7.28341,  94.799,  35.058, Sun position possibly out of range
 7.30007,  88.410, -25.260, Rotor position possibly out of range
 7.30007,  94.990,  35.231, Sun position possibly out of range
 7.31678,  88.219, -25.088, Rotor position possibly out of range
 7.31678,  95.181,  35.403, Sun position possibly out of range
 7.33351,  88.028, -24.916, Rotor position possibly out of range
 7.33351,  95.372,  35.575, Sun position possibly out of range
 7.35020,  87.835, -24.744, Rotor position possibly out of range
 7.35020,  95.565,  35.748, Sun position possibly out of range
 7.36689,  87.643, -24.571, Rotor position possibly out of range
 7.36689,  95.757,  35.920, Sun position possibly out of range
 7.38358,  87.450, -24.399, Rotor position possibly out of range
 7.38358,  95.950,  36.092, Sun position possibly out of range
 7.40025,  87.256, -24.227, Rotor position possibly out of range
 7.40025,  96.144,  36.264, Sun position possibly out of range
 7.41692,  87.062, -24.055, Rotor position possibly out of range
 7.41692,  96.338,  36.436, Sun position possibly out of range
 7.43359,  86.868, -23.883, Rotor position possibly out of range
 7.43359,  96.532,  36.608, Sun position possibly out of range
 7.45025,  86.672, -23.711, Rotor position possibly out of range
 7.45025,  96.728,  36.780, Sun position possibly out of range
 7.46693,  86.477, -23.540, Rotor position possibly out of range
 7.46693,  96.923,  36.952, Sun position possibly out of range
 7.48362,  86.281, -23.368, Rotor position possibly out of range
 7.48362,  97.119,  37.124, Sun position possibly out of range
 7.50029, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50031, 145.000,  77.000, New tracking position
 7.51697, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51699, 145.000, -14.000, New tracking position
 7.53364,  97.715,  37.641, Back to the Sun
 7.53366,  85.685, -22.850, Rotor position possibly out of range
 7.53366,  97.715,  37.641, Sun position possibly out of range
 7.55034,  85.487, -22.679, Rotor position possibly out of range
 7.55034,  97.913,  37.813, Sun position possibly out of range
 7.56675,  85.291, -22.510, Rotor position possibly out of range
 7.56675,  98.109,  37.981, Sun position possibly out of range
 7.58345,  85.092, -22.339, Rotor position possibly out of range
 7.58345,  98.308,  38.153, Sun position possibly out of range
 7.60012,  84.892, -22.168, Rotor position possibly out of range
 7.60012,  98.508,  38.324, Sun position possibly out of range
 7.61679,  84.691, -21.997, Rotor position possibly out of range
 7.61679,  98.709,  38.495, Sun position possibly out of range
 7.63345,  84.489, -21.826, Rotor position possibly out of range
 7.63345,  98.911,  38.666, Sun position possibly out of range
 7.65014,  84.287, -21.655, Rotor position possibly out of range
 7.65014,  99.113,  38.837, Sun position possibly out of range
 7.66682,  84.085, -21.484, Rotor position possibly out of range
 7.66682,  99.315,  39.008, Sun position possibly out of range
 7.68349,  83.882, -21.313, Rotor position possibly out of range
 7.68349,  99.518,  39.178, Sun position possibly out of range
 7.70018,  83.678, -21.143, Rotor position possibly out of range
 7.70018,  99.722,  39.349, Sun position possibly out of range
 7.71686,  83.473, -20.972, Rotor position possibly out of range
 7.71686,  99.927,  39.520, Sun position possibly out of range
 7.73356,  83.268, -20.802, Rotor position possibly out of range
 7.73356, 100.132,  39.690, Sun position possibly out of range
 7.75020, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75022, 145.000,  77.000, New tracking position
 7.76689, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76691, 145.000, -14.000, New tracking position
 7.78357, 100.751,  40.201, Back to the Sun
 7.78360,  82.649, -20.291, Rotor position possibly out of range
 7.78360, 100.751,  40.201, Sun position possibly out of range
 7.80027,  82.441, -20.121, Rotor position possibly out of range
 7.80027, 100.959,  40.371, Sun position possibly out of range
 7.81696,  82.232, -19.951, Rotor position possibly out of range
 7.81696, 101.168,  40.540, Sun position possibly out of range
 7.83363,  82.023, -19.782, Rotor position possibly out of range
 7.83363, 101.377,  40.710, Sun position possibly out of range
 7.85030,  81.813, -19.612, Rotor position possibly out of range
 7.85030, 101.587,  40.880, Sun position possibly out of range
 7.86700,  81.599, -19.440, Rotor position possibly out of range
 7.86700, 101.801,  41.052, Sun position possibly out of range
 7.88367,  81.387, -19.270, Rotor position possibly out of range
 7.88367, 102.013,  41.221, Sun position possibly out of range
 7.90034,  81.175, -19.101, Rotor position possibly out of range
 7.90034, 102.225,  41.391, Sun position possibly out of range
 7.91700,  80.962, -18.932, Rotor position possibly out of range
 7.91700, 102.438,  41.560, Sun position possibly out of range
 7.93367,  80.749, -18.763, Rotor position possibly out of range
 7.93367, 102.651,  41.729, Sun position possibly out of range
 7.95033,  80.534, -18.594, Rotor position possibly out of range
 7.95033, 102.866,  41.898, Sun position possibly out of range
 7.96700,  80.319, -18.426, Rotor position possibly out of range
 7.96700, 103.081,  42.066, Sun position possibly out of range
 7.98367,  80.103, -18.257, Rotor position possibly out of range
 7.98367, 103.297,  42.235, Sun position possibly out of range
 8.00032, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00034, 145.000,  77.000, New tracking position
