DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 186.300,  60.500, Reference positions.

 7.00017, 145.000,  77.000, New tracking position
 7.01681, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01683, 145.000, -14.000, New tracking position
 7.03348,  89.342,  32.648, Back to the Sun
 7.03351,  93.715, -27.843, Rotor position possibly out of range
 7.03351,  89.342,  32.648, Sun position possibly out of range
 7.05018,  93.541, -27.670, Rotor position possibly out of range
 7.05019,  89.521,  32.821, Sun position possibly out of range
 7.06685,  93.368, -27.497, Rotor position possibly out of range
 7.06685,  89.701,  32.994, Sun position possibly out of range
 7.08352,  93.194, -27.324, Rotor position possibly out of range
 7.08352,  89.881,  33.167, Sun position possibly out of range
 7.10019,  93.020, -27.151, Rotor position possibly out of range
 7.10019,  90.061,  33.340, Sun position possibly out of range
 7.11685,  92.845, -26.978, Rotor position possibly out of range
 7.11685,  90.242,  33.513, Sun position possibly out of range
 7.13352,  92.670, -26.805, Rotor position possibly out of range
 7.13352,  90.423,  33.686, Sun position possibly out of range
 7.15019,  92.495, -26.632, Rotor position possibly out of range
 7.15019,  90.604,  33.858, Sun position possibly out of range
 7.16685,  92.320, -26.459, Rotor position possibly out of range
 7.16685,  90.786,  34.031, Sun position possibly out of range
 7.18352,  92.144, -26.287, Rotor position possibly out of range
 7.18352,  90.968,  34.204, Sun position possibly out of range
 7.20019,  91.968, -26.114, Rotor position possibly out of range
 7.20019,  91.150,  34.377, Sun position possibly out of range
 7.21686,  91.791, -25.941, Rotor position possibly out of range
 7.21686,  91.333,  34.550, Sun position possibly out of range
 7.23353,  91.614, -25.768, Rotor position possibly out of range
 7.23353,  91.517,  34.723, Sun position possibly out of range
 7.25017, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25019, 145.000,  77.000, New tracking position
 7.26684, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26686, 145.000, -14.000, New tracking position
 7.28352,  92.069,  35.242, Back to the Sun
 7.28355,  91.082, -25.249, Rotor position possibly out of range
 7.28355,  92.069,  35.242, Sun position possibly out of range
 7.30022,  90.904, -25.077, Rotor position possibly out of range
 7.30022,  92.254,  35.414, Sun position possibly out of range
 7.31690,  90.725, -24.904, Rotor position possibly out of range
 7.31690,  92.440,  35.587, Sun position possibly out of range
 7.33357,  90.546, -24.731, Rotor position possibly out of range
 7.33357,  92.625,  35.760, Sun position possibly out of range
 7.35023,  90.367, -24.558, Rotor position possibly out of range
 7.35023,  92.812,  35.933, Sun position possibly out of range
 7.36690,  90.187, -24.386, Rotor position possibly out of range
 7.36690,  92.998,  36.105, Sun position possibly out of range
 7.38356,  90.007, -24.213, Rotor position possibly out of range
 7.38356,  93.186,  36.278, Sun position possibly out of range
 7.40023,  89.826, -24.040, Rotor position possibly out of range
 7.40023,  93.373,  36.451, Sun position possibly out of range
 7.41690,  89.645, -23.868, Rotor position possibly out of range
 7.41690,  93.561,  36.623, Sun position possibly out of range
 7.43358,  89.464, -23.695, Rotor position possibly out of range
 7.43358,  93.750,  36.796, Sun position possibly out of range
 7.45025,  89.282, -23.523, Rotor position possibly out of range
 7.45025,  93.939,  36.969, Sun position possibly out of range
 7.46692,  89.100, -23.350, Rotor position possibly out of range
 7.46692,  94.128,  37.141, Sun position possibly out of range
 7.48359,  88.917, -23.178, Rotor position possibly out of range
 7.48359,  94.319,  37.314, Sun position possibly out of range
 7.50023, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50025, 145.000,  77.000, New tracking position
 7.51689, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51691, 145.000, -14.000, New tracking position
 7.53356,  94.892,  37.831, Back to the Sun
 7.53358,  88.367, -22.660, Rotor position possibly out of range
 7.53358,  94.892,  37.831, Sun position possibly out of range
 7.55026,  88.182, -22.488, Rotor position possibly out of range
 7.55026,  95.084,  38.003, Sun position possibly out of range
 7.56693,  87.997, -22.316, Rotor position possibly out of range
 7.56693,  95.276,  38.175, Sun position possibly out of range
 7.58360,  87.812, -22.144, Rotor position possibly out of range
 7.58360,  95.469,  38.347, Sun position possibly out of range
 7.60027,  87.626, -21.972, Rotor position possibly out of range
 7.60027,  95.663,  38.520, Sun position possibly out of range
 7.61694,  87.440, -21.800, Rotor position possibly out of range
 7.61694,  95.857,  38.692, Sun position possibly out of range
 7.63362,  87.253, -21.628, Rotor position possibly out of range
 7.63362,  96.052,  38.864, Sun position possibly out of range
 7.65030,  87.066, -21.456, Rotor position possibly out of range
 7.65030,  96.247,  39.036, Sun position possibly out of range
 7.66697,  86.878, -21.284, Rotor position possibly out of range
 7.66697,  96.443,  39.208, Sun position possibly out of range
 7.68364,  86.686, -21.109, Rotor position possibly out of range
 7.68364,  96.643,  39.382, Sun position possibly out of range
 7.70031,  86.498, -20.937, Rotor position possibly out of range
 7.70031,  96.840,  39.554, Sun position possibly out of range
 7.71697,  86.308, -20.766, Rotor position possibly out of range
 7.71697,  97.038,  39.726, Sun position possibly out of range
 7.73364,  86.118, -20.594, Rotor position possibly out of range
 7.73364,  97.236,  39.897, Sun position possibly out of range
 7.75028, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75030, 145.000,  77.000, New tracking position
 7.76695, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76697, 145.000, -14.000, New tracking position
 7.78361,  97.831,  40.409, Back to the Sun
 7.78364,  85.548, -20.082, Rotor position possibly out of range
 7.78364,  97.831,  40.409, Sun position possibly out of range
 7.80031,  85.353, -19.908, Rotor position possibly out of range
 7.80031,  98.035,  40.583, Sun position possibly out of range
 7.81698,  85.160, -19.737, Rotor position possibly out of range
 7.81698,  98.237,  40.754, Sun position possibly out of range
 7.83364,  84.967, -19.566, Rotor position possibly out of range
 7.83364,  98.439,  40.926, Sun position possibly out of range
 7.85031,  84.773, -19.395, Rotor position possibly out of range
 7.85031,  98.642,  41.097, Sun position possibly out of range
 7.86697,  84.579, -19.224, Rotor position possibly out of range
 7.86697,  98.845,  41.268, Sun position possibly out of range
 7.88364,  84.384, -19.053, Rotor position possibly out of range
 7.88364,  99.049,  41.438, Sun position possibly out of range
 7.90031,  84.188, -18.882, Rotor position possibly out of range
 7.90031,  99.254,  41.609, Sun position possibly out of range
 7.91698,  83.992, -18.712, Rotor position possibly out of range
 7.91698,  99.459,  41.780, Sun position possibly out of range
 7.93365,  83.795, -18.541, Rotor position possibly out of range
 7.93365,  99.665,  41.950, Sun position possibly out of range
 7.95032,  83.597, -18.371, Rotor position possibly out of range
 7.95032,  99.872,  42.121, Sun position possibly out of range
 7.96675,  83.403, -18.203, Rotor position possibly out of range
 7.96675, 100.076,  42.288, Sun position possibly out of range
 7.98341,  83.204, -18.033, Rotor position possibly out of range
 7.98341, 100.284,  42.459, Sun position possibly out of range
 8.00006, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00008, 145.000,  77.000, New tracking position
 8.01673, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.01675, 145.000, -14.000, New tracking position
 8.03340, 100.914,  42.969, Back to the Sun
 8.03342,  82.603, -17.523, Rotor position possibly out of range
 8.03342, 100.914,  42.969, Sun position possibly out of range
 8.05009,  82.402, -17.353, Rotor position possibly out of range
 8.05009, 101.125,  43.139, Sun position possibly out of range
 8.06676,  82.200, -17.184, Rotor position possibly out of range
 8.06676, 101.337,  43.308, Sun position possibly out of range
 8.08344,  81.997, -17.014, Rotor position possibly out of range
 8.08344, 101.550,  43.478, Sun position possibly out of range
 8.10011,  81.793, -16.845, Rotor position possibly out of range
 8.10011, 101.763,  43.647, Sun position possibly out of range
 8.11677,  81.589, -16.675, Rotor position possibly out of range
 8.11677, 101.978,  43.817, Sun position possibly out of range
 8.13345,  81.384, -16.506, Rotor position possibly out of range
 8.13345, 102.193,  43.986, Sun position possibly out of range
 8.15012,  81.178, -16.337, Rotor position possibly out of range
 8.15012, 102.409,  44.155, Sun position possibly out of range
 8.16678,  80.971, -16.168, Rotor position possibly out of range
 8.16678, 102.626,  44.324, Sun position possibly out of range
 8.18345,  80.764, -16.000, Rotor position possibly out of range
 8.18345, 102.844,  44.492, Sun position possibly out of range
 8.20012,  80.556, -15.831, Rotor position possibly out of range
 8.20012, 103.062,  44.661, Sun position possibly out of range
 8.21679,  80.347, -15.663, Rotor position possibly out of range
 8.21679, 103.282,  44.829, Sun position possibly out of range
 8.23345,  80.137, -15.494, Rotor position possibly out of range
 8.23345, 103.502,  44.998, Sun position possibly out of range
 8.25010, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.25012, 145.000,  77.000, New tracking position
 8.26676, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.26678, 145.000, -14.000, New tracking position
 8.28344, 104.168,  45.502, Back to the Sun
