DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 186.300,  60.500, Reference positions.

 7.00015, 145.000,  77.000, New tracking position
 7.01680, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01681, 145.000, -14.000, New tracking position
 7.03348,  89.723,  33.094, Back to the Sun
 7.03350,  89.723,  33.094, New tracking position
 7.05017,  80.785, -27.225, Rotor position possibly out of range
 7.05017,  89.903,  33.267, Sun position possibly out of range
 7.06684,  84.036, -27.052, Rotor position possibly out of range
 7.06684,  90.084,  33.440, Sun position possibly out of range
 7.08352,  85.343, -26.879, Rotor position possibly out of range
 7.08352,  90.264,  33.613, Sun position possibly out of range
 7.10019,  85.963, -26.706, Rotor position possibly out of range
 7.10019,  90.445,  33.786, Sun position possibly out of range
 7.11686,  86.257, -26.533, Rotor position possibly out of range
 7.11686,  90.627,  33.959, Sun position possibly out of range
 7.13352,  86.365, -26.360, Rotor position possibly out of range
 7.13352,  90.808,  34.132, Sun position possibly out of range
 7.15019,  86.351, -26.187, Rotor position possibly out of range
 7.15019,  90.991,  34.304, Sun position possibly out of range
 7.16686,  86.245, -26.014, Rotor position possibly out of range
 7.16686,  91.173,  34.477, Sun position possibly out of range
 7.18352,  86.059, -25.841, Rotor position possibly out of range
 7.18352,  91.356,  34.650, Sun position possibly out of range
 7.20021,  85.793, -25.668, Rotor position possibly out of range
 7.20021,  91.539,  34.823, Sun position possibly out of range
 7.21689,  85.434, -25.495, Rotor position possibly out of range
 7.21689,  91.723,  34.996, Sun position possibly out of range
 7.23356,  84.950, -25.322, Rotor position possibly out of range
 7.23356,  91.907,  35.169, Sun position possibly out of range
 7.25021, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25024, 145.000,  77.000, New tracking position
 7.26690, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26692, 145.000, -14.000, New tracking position
 7.28356,  92.462,  35.688, Back to the Sun
 7.28359,  81.505, -24.804, Rotor position possibly out of range
 7.28359,  92.462,  35.688, Sun position possibly out of range
 7.30027,  77.630, -24.632, Rotor position possibly out of range
 7.30027,  92.648,  35.860, Sun position possibly out of range
 7.31694,  92.835,  36.033, New tracking position
 7.33362, 120.166, -24.282, Rotor position possibly out of range
 7.33362,  93.021,  36.206, Sun position possibly out of range
 7.35029,  97.179, -24.112, Rotor position possibly out of range
 7.35029,  93.208,  36.379, Sun position possibly out of range
 7.36697,  92.872, -23.939, Rotor position possibly out of range
 7.36697,  93.396,  36.551, Sun position possibly out of range
 7.38364,  90.980, -23.764, Rotor position possibly out of range
 7.38364,  93.587,  36.727, Sun position possibly out of range
 7.40030,  89.930, -23.594, Rotor position possibly out of range
 7.40030,  93.773,  36.897, Sun position possibly out of range
 7.41697,  89.213, -23.419, Rotor position possibly out of range
 7.41697,  93.965,  37.072, Sun position possibly out of range
 7.43366,  88.709, -23.246, Rotor position possibly out of range
 7.43366,  94.155,  37.245, Sun position possibly out of range
 7.45032,  88.334, -23.074, Rotor position possibly out of range
 7.45032,  94.345,  37.417, Sun position possibly out of range
 7.46700,  88.054, -22.902, Rotor position possibly out of range
 7.46700,  94.535,  37.590, Sun position possibly out of range
 7.48366,  87.852, -22.729, Rotor position possibly out of range
 7.48366,  94.727,  37.762, Sun position possibly out of range
 7.50030, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50032, 145.000,  77.000, New tracking position
 7.51697, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51699, 145.000, -14.000, New tracking position
 7.53364,  95.303,  38.279, Back to the Sun
 7.53366,  87.774, -22.212, Rotor position possibly out of range
 7.53366,  95.303,  38.279, Sun position possibly out of range
 7.55034,  88.028, -22.040, Rotor position possibly out of range
 7.55034,  95.496,  38.451, Sun position possibly out of range
 7.56701,  88.583, -21.868, Rotor position possibly out of range
 7.56701,  95.690,  38.623, Sun position possibly out of range
 7.58368,  89.750, -21.695, Rotor position possibly out of range
 7.58368,  95.884,  38.796, Sun position possibly out of range
 7.60034,  92.566, -21.523, Rotor position possibly out of range
 7.60034,  96.079,  38.968, Sun position possibly out of range
 7.61675, 103.117, -21.353, Rotor position possibly out of range
 7.61675,  96.271,  39.137, Sun position possibly out of range
 7.63341,  96.467,  39.309, New tracking position
 7.65008,  96.664,  39.481, New tracking position
 7.66674,  96.861,  39.652, New tracking position
 7.68341,  78.051, -20.668, Rotor position possibly out of range
 7.68341,  97.059,  39.824, Sun position possibly out of range
 7.70008,  78.866, -20.496, Rotor position possibly out of range
 7.70008,  97.257,  39.996, Sun position possibly out of range
 7.71675,  79.252, -20.325, Rotor position possibly out of range
 7.71675,  97.456,  40.167, Sun position possibly out of range
 7.73341,  79.409, -20.153, Rotor position possibly out of range
 7.73341,  97.655,  40.339, Sun position possibly out of range
 7.75006, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75008, 145.000,  77.000, New tracking position
 7.76674, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76675, 145.000, -14.000, New tracking position
 7.78340,  98.258,  40.853, Back to the Sun
 7.78343,  79.168, -19.639, Rotor position possibly out of range
 7.78343,  98.258,  40.853, Sun position possibly out of range
 7.80009,  78.923, -19.468, Rotor position possibly out of range
 7.80009,  98.460,  41.024, Sun position possibly out of range
 7.81676,  78.593, -19.297, Rotor position possibly out of range
 7.81676,  98.663,  41.195, Sun position possibly out of range
 7.83343,  78.159, -19.126, Rotor position possibly out of range
 7.83343,  98.866,  41.366, Sun position possibly out of range
 7.85011,  77.575, -18.955, Rotor position possibly out of range
 7.85011,  99.070,  41.537, Sun position possibly out of range
 7.86677,  99.275,  41.708, New tracking position
 7.88344,  99.481,  41.878, New tracking position
 7.90011,  99.687,  42.049, New tracking position
 7.91679,  99.894,  42.220, New tracking position
 7.93346, 100.101,  42.390, New tracking position
 7.95012,  97.055, -17.930, Rotor position possibly out of range
 7.95012, 100.310,  42.560, Sun position possibly out of range
 7.96679,  87.689, -17.761, Rotor position possibly out of range
 7.96679, 100.519,  42.730, Sun position possibly out of range
 7.98346,  84.750, -17.591, Rotor position possibly out of range
 7.98346, 100.729,  42.900, Sun position possibly out of range
 8.00011, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00013, 145.000,  77.000, New tracking position
 8.01677, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.01679, 145.000, -14.000, New tracking position
 8.03344, 101.363,  43.410, Back to the Sun
 8.03346,  81.699, -17.082, Rotor position possibly out of range
 8.03346, 101.363,  43.410, Sun position possibly out of range
 8.05012,  81.222, -16.912, Rotor position possibly out of range
 8.05012, 101.576,  43.579, Sun position possibly out of range
 8.06680,  80.856, -16.743, Rotor position possibly out of range
 8.06680, 101.790,  43.749, Sun position possibly out of range
 8.08346,  80.575, -16.574, Rotor position possibly out of range
 8.08346, 102.004,  43.918, Sun position possibly out of range
 8.10013,  80.368, -16.405, Rotor position possibly out of range
 8.10013, 102.220,  44.087, Sun position possibly out of range
 8.11680,  80.238, -16.236, Rotor position possibly out of range
 8.11680, 102.436,  44.256, Sun position possibly out of range
 8.13347,  80.196, -16.067, Rotor position possibly out of range
 8.13347, 102.653,  44.425, Sun position possibly out of range
 8.15013,  80.273, -15.898, Rotor position possibly out of range
 8.15013, 102.871,  44.594, Sun position possibly out of range
 8.16679,  80.532, -15.729, Rotor position possibly out of range
 8.16679, 103.089,  44.763, Sun position possibly out of range
 8.18347,  81.108, -15.561, Rotor position possibly out of range
 8.18347, 103.309,  44.931, Sun position possibly out of range
 8.20014,  82.342, -15.392, Rotor position possibly out of range
 8.20014, 103.529,  45.099, Sun position possibly out of range
 8.21681,  85.385, -15.224, Rotor position possibly out of range
 8.21681, 103.751,  45.268, Sun position possibly out of range
 8.23347,  97.968, -15.055, Rotor position possibly out of range
 8.23347, 103.973,  45.436, Sun position possibly out of range
 8.25013, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.25015, 145.000,  77.000, New tracking position
 8.26678, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.26680, 145.000, -14.000, New tracking position
 8.28347, 104.645,  45.939, Back to the Sun
 8.28349, 104.645,  45.939, New tracking position
 8.30016, 104.871,  46.106, New tracking position
 8.31683, 105.098,  46.273, New tracking position
 8.33350, 105.326,  46.440, New tracking position
 8.35018, 105.555,  46.607, New tracking position
 8.36684, 105.785,  46.773, New tracking position
 8.38351, 106.016,  46.940, New tracking position
 8.40019, 106.248,  47.106, New tracking position
 8.41686, 106.481,  47.272, New tracking position
 8.43354, 106.715,  47.438, New tracking position
 8.45021, 106.950,  47.603, New tracking position
 8.46688, 107.186,  47.769, New tracking position
 8.48354, 107.423,  47.934, New tracking position
 8.50020, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.50022, 145.000,  77.000, New tracking position
