DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 183.400,  60.500, Reference positions.

 7.00013, 145.000,  77.000, New tracking position
 7.01677, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01679, 145.000, -14.000, New tracking position
 7.03344,  90.239,  33.098, Back to the Sun
 7.03346,  93.161, -27.392, Rotor position possibly out of range
 7.03346,  90.239,  33.098, Sun position possibly out of range
 7.05013,  92.980, -27.219, Rotor position possibly out of range
 7.05013,  90.420,  33.271, Sun position possibly out of range
 7.06679,  92.799, -27.046, Rotor position possibly out of range
 7.06679,  90.601,  33.444, Sun position possibly out of range
 7.08346,  92.617, -26.873, Rotor position possibly out of range
 7.08346,  90.783,  33.617, Sun position possibly out of range
 7.10013,  92.435, -26.700, Rotor position possibly out of range
 7.10013,  90.965,  33.790, Sun position possibly out of range
 7.11680,  92.253, -26.528, Rotor position possibly out of range
 7.11680,  91.147,  33.963, Sun position possibly out of range
 7.13347,  92.070, -26.355, Rotor position possibly out of range
 7.13347,  91.330,  34.136, Sun position possibly out of range
 7.15014,  91.887, -26.182, Rotor position possibly out of range
 7.15014,  91.513,  34.309, Sun position possibly out of range
 7.16681,  91.703, -26.009, Rotor position possibly out of range
 7.16681,  91.697,  34.482, Sun position possibly out of range
 7.18347,  91.519, -25.836, Rotor position possibly out of range
 7.18347,  91.881,  34.655, Sun position possibly out of range
 7.20014,  91.335, -25.663, Rotor position possibly out of range
 7.20014,  92.065,  34.828, Sun position possibly out of range
 7.21680,  91.150, -25.490, Rotor position possibly out of range
 7.21680,  92.250,  35.001, Sun position possibly out of range
 7.23349,  90.965, -25.317, Rotor position possibly out of range
 7.23349,  92.435,  35.174, Sun position possibly out of range
 7.25014, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25016, 145.000,  77.000, New tracking position
 7.26680, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26682, 145.000, -14.000, New tracking position
 7.28348,  92.994,  35.692, Back to the Sun
 7.28351,  90.406, -24.799, Rotor position possibly out of range
 7.28351,  92.994,  35.692, Sun position possibly out of range
 7.30018,  90.219, -24.626, Rotor position possibly out of range
 7.30018,  93.181,  35.865, Sun position possibly out of range
 7.31686,  90.032, -24.454, Rotor position possibly out of range
 7.31686,  93.368,  36.037, Sun position possibly out of range
 7.33352,  89.844, -24.281, Rotor position possibly out of range
 7.33352,  93.556,  36.210, Sun position possibly out of range
 7.35019,  89.656, -24.108, Rotor position possibly out of range
 7.35019,  93.744,  36.383, Sun position possibly out of range
 7.36686,  89.467, -23.936, Rotor position possibly out of range
 7.36686,  93.933,  36.555, Sun position possibly out of range
 7.38355,  89.277, -23.763, Rotor position possibly out of range
 7.38355,  94.123,  36.728, Sun position possibly out of range
 7.40021,  89.088, -23.591, Rotor position possibly out of range
 7.40021,  94.312,  36.900, Sun position possibly out of range
 7.41688,  88.897, -23.418, Rotor position possibly out of range
 7.41688,  94.503,  37.073, Sun position possibly out of range
 7.43355,  88.707, -23.246, Rotor position possibly out of range
 7.43355,  94.693,  37.245, Sun position possibly out of range
 7.45022,  88.515, -23.073, Rotor position possibly out of range
 7.45022,  94.885,  37.418, Sun position possibly out of range
 7.46691,  88.323, -22.901, Rotor position possibly out of range
 7.46691,  95.077,  37.590, Sun position possibly out of range
 7.48359,  88.131, -22.729, Rotor position possibly out of range
 7.48359,  95.269,  37.763, Sun position possibly out of range
 7.50023, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50025, 145.000,  77.000, New tracking position
 7.51689, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51691, 145.000, -14.000, New tracking position
 7.53356,  95.849,  38.279, Back to the Sun
 7.53359,  87.551, -22.212, Rotor position possibly out of range
 7.53359,  95.849,  38.279, Sun position possibly out of range
 7.55025,  87.357, -22.040, Rotor position possibly out of range
 7.55025,  96.043,  38.451, Sun position possibly out of range
 7.56693,  87.162, -21.868, Rotor position possibly out of range
 7.56693,  96.238,  38.623, Sun position possibly out of range
 7.58360,  86.966, -21.696, Rotor position possibly out of range
 7.58360,  96.434,  38.795, Sun position possibly out of range
 7.60027,  86.770, -21.524, Rotor position possibly out of range
 7.60027,  96.630,  38.967, Sun position possibly out of range
 7.61693,  86.573, -21.352, Rotor position possibly out of range
 7.61693,  96.827,  39.139, Sun position possibly out of range
 7.63360,  86.376, -21.181, Rotor position possibly out of range
 7.63360,  97.024,  39.311, Sun position possibly out of range
 7.65027,  86.178, -21.009, Rotor position possibly out of range
 7.65027,  97.222,  39.482, Sun position possibly out of range
 7.66694,  85.979, -20.837, Rotor position possibly out of range
 7.66694,  97.421,  39.654, Sun position possibly out of range
 7.68360,  85.780, -20.666, Rotor position possibly out of range
 7.68360,  97.620,  39.825, Sun position possibly out of range
 7.70027,  85.581, -20.494, Rotor position possibly out of range
 7.70027,  97.819,  39.997, Sun position possibly out of range
 7.71694,  85.380, -20.323, Rotor position possibly out of range
 7.71694,  98.020,  40.168, Sun position possibly out of range
 7.73360,  85.179, -20.152, Rotor position possibly out of range
 7.73360,  98.221,  40.340, Sun position possibly out of range
 7.75025, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75027, 145.000,  77.000, New tracking position
 7.76691, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76693, 145.000, -14.000, New tracking position
 7.78358,  98.828,  40.853, Back to the Sun
 7.78361,  84.572, -19.639, Rotor position possibly out of range
 7.78361,  98.828,  40.853, Sun position possibly out of range
 7.80029,  84.369, -19.468, Rotor position possibly out of range
 7.80029,  99.031,  41.024, Sun position possibly out of range
 7.81696,  84.165, -19.297, Rotor position possibly out of range
 7.81696,  99.235,  41.195, Sun position possibly out of range
 7.83365,  83.956, -19.123, Rotor position possibly out of range
 7.83365,  99.444,  41.368, Sun position possibly out of range
 7.85031,  83.751, -18.953, Rotor position possibly out of range
 7.85031,  99.649,  41.539, Sun position possibly out of range
 7.86698,  83.544, -18.782, Rotor position possibly out of range
 7.86698,  99.856,  41.709, Sun position possibly out of range
 7.88364,  83.337, -18.612, Rotor position possibly out of range
 7.88364, 100.063,  41.880, Sun position possibly out of range
 7.90031,  83.130, -18.441, Rotor position possibly out of range
 7.90031, 100.270,  42.050, Sun position possibly out of range
 7.91698,  82.921, -18.271, Rotor position possibly out of range
 7.91698, 100.479,  42.220, Sun position possibly out of range
 7.93366,  82.712, -18.101, Rotor position possibly out of range
 7.93366, 100.688,  42.391, Sun position possibly out of range
 7.95032,  82.502, -17.931, Rotor position possibly out of range
 7.95032, 100.898,  42.560, Sun position possibly out of range
 7.96699,  82.291, -17.761, Rotor position possibly out of range
 7.96699, 101.109,  42.730, Sun position possibly out of range
 7.98366,  82.080, -17.592, Rotor position possibly out of range
 7.98366, 101.320,  42.900, Sun position possibly out of range
 8.00032, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00034, 145.000,  77.000, New tracking position
