DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 8.26667, 183.400,  60.500, Reference positions.

 8.26696, 145.000, -14.000, New tracking position
 8.28112, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.28114, 145.000, -14.000, New tracking position
 8.28359, 106.265,  45.674, Back to the Sun
 8.28362,  77.135, -14.818, Rotor position possibly out of range
 8.28362, 106.265,  45.674, Sun position possibly out of range
 8.30028, 106.495,  45.840, New tracking position
 8.31698, 106.730,  46.009, New tracking position
 8.33364, 106.963,  46.174, New tracking position
 8.35009, 107.192,  46.337, New tracking position
 8.36677, 107.426,  46.502, New tracking position
 8.38344, 107.662,  46.667, New tracking position
 8.40012, 107.898,  46.832, New tracking position
 8.41682, 108.136,  46.997, New tracking position
 8.43351, 108.374,  47.161, New tracking position
 8.45018, 108.614,  47.325, New tracking position
 8.46688, 108.854,  47.489, New tracking position
 8.48354, 109.096,  47.653, New tracking position
 8.50020, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.50022, 145.000,  77.000, New tracking position
 8.51688, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.51690, 145.000, -14.000, New tracking position
 8.53359, 109.828,  48.142, Back to the Sun
 8.53361, 109.828,  48.142, New tracking position
 8.55065, 110.083,  48.311, New tracking position
 8.56782, 110.335,  48.476, New tracking position
 8.58389, 110.575,  48.632, New tracking position
 8.60057, 110.825,  48.794, New tracking position
 8.61733, 111.080,  48.959, New tracking position
 8.63499, 111.345,  49.128, New tracking position
 8.65080, 111.586,  49.281, New tracking position
 8.66741, 111.841,  49.442, New tracking position
 8.68442, 112.101,  49.605, New tracking position
 8.70206, 112.372,  49.773, New tracking position
 8.71742, 112.613,  49.923, New tracking position
 8.73405, 112.873,  50.082, New tracking position
 8.75087, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.75094, 145.000,  77.000, New tracking position
 8.76766, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.76774, 145.000, -14.000, New tracking position
 8.78495, 113.674,  50.567, Back to the Sun
 8.78501, 113.674,  50.567, New tracking position
 8.80043, 113.922,  50.715, New tracking position
 8.81683, 114.184,  50.871, New tracking position
 8.83350, 114.452,  51.028, New tracking position
 8.85016, 114.722,  51.186, New tracking position
 8.86685, 114.993,  51.343, New tracking position
 8.88356, 115.265,  51.499, New tracking position
 8.90023, 115.539,  51.656, New tracking position
 8.91692, 115.814,  51.812, New tracking position
 8.93361, 116.091,  51.967, New tracking position
 8.95028, 116.369,  52.123, New tracking position
 8.96695, 116.649,  52.278, New tracking position
 8.98364, 116.935,  52.435, New tracking position
 8.98436, 115.535,  51.035, New scanning59 position
 8.98498, 116.235,  51.035, New scanning59 position
 8.98560, 116.935,  51.035, New scanning59 position
 8.98622, 117.635,  51.035, New scanning59 position
 8.98684, 118.335,  51.035, New scanning59 position
 8.98746, 118.335,  51.735, New scanning59 position
 8.98808, 117.635,  51.735, New scanning59 position
 8.98870, 116.935,  51.735, New scanning59 position
 8.98932, 116.235,  51.735, New scanning59 position
 8.98994, 115.535,  51.735, New scanning59 position
 8.99056, 115.535,  52.435, New scanning59 position
 8.99118, 116.235,  52.435, New scanning59 position
 8.99180, 116.935,  52.435, New scanning59 position
 8.99242, 117.635,  52.435, New scanning59 position
 8.99304, 118.335,  52.435, New scanning59 position
 8.99366, 118.335,  53.135, New scanning59 position
 8.99428, 117.635,  53.135, New scanning59 position
 8.99490, 116.935,  53.135, New scanning59 position
 8.99552, 116.235,  53.135, New scanning59 position
 8.99614, 115.535,  53.135, New scanning59 position
 8.99676, 115.535,  53.835, New scanning59 position
 8.99738, 116.235,  53.835, New scanning59 position
 8.99800, 116.935,  53.835, New scanning59 position
 8.99862, 117.635,  53.835, New scanning59 position
 8.99924, 118.335,  53.835, New scanning59 position
 8.99933, 116.935,  52.435, End of the scan59. Back to the Sun
 9.00032, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 9.00034, 145.000,  77.000, New tracking position
 9.01697, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 9.01699, 145.000, -14.000, New tracking position
 9.03365, 117.789,  52.896, Back to the Sun
 9.03368, 117.789,  52.896, New tracking position
 9.05035, 118.076,  53.049, New tracking position
 9.06706, 118.366,  53.201, New tracking position
 9.08346, 118.652,  53.351, New tracking position
 9.10019, 118.944,  53.503, New tracking position
 9.11687, 119.239,  53.654, New tracking position
 9.13357, 119.535,  53.805, New tracking position
 9.15026, 119.832,  53.955, New tracking position
 9.16692, 120.132,  54.105, New tracking position
 9.18363, 120.433,  54.255, New tracking position
 9.20032, 120.741,  54.406, New tracking position
 9.21698, 121.045,  54.555, New tracking position
 9.23364, 121.352,  54.703, New tracking position
 9.25028, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 9.25030, 145.000,  77.000, New tracking position
 9.26692, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 9.26694, 145.000, -14.000, New tracking position
 9.28360, 122.277,  55.142, Back to the Sun
 9.28362, 122.277,  55.142, New tracking position
 9.30031, 122.596,  55.290, New tracking position
 9.31697, 122.912,  55.436, New tracking position
 9.33365, 123.230,  55.581, New tracking position
 9.35030, 123.549,  55.725, New tracking position
 9.36698, 123.871,  55.869, New tracking position
 9.38364, 124.194,  56.013, New tracking position
 9.40031, 124.520,  56.156, New tracking position
 9.41699, 124.847,  56.298, New tracking position
 9.43367, 125.177,  56.440, New tracking position
 9.45010, 125.503,  56.579, New tracking position
 9.46677, 125.836,  56.719, New tracking position
 9.48344, 126.172,  56.860, New tracking position
 9.50009, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 9.50011, 145.000,  77.000, New tracking position
 9.51676, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 9.51678, 145.000, -14.000, New tracking position
 9.53342, 127.192,  57.276, Back to the Sun
 9.53344, 127.192,  57.276, New tracking position
