time,temp_degC,precip_mm,irrad_W_m2
2025-06-21T07:50:00Z,24.7,0.0,585
2025-06-21T07:50:00Z,24.7,0.0,599
2025-06-21T08:20:00Z,25.2,0.0,687
2025-06-21T08:20:00Z,25.2,0.0,719
2025-06-21T08:40:00Z,26.7,0.0,751
2025-06-21T08:50:00Z,25.6,0.0,751
2025-06-21T09:10:00Z,26.4,0.0,796
2025-06-21T09:20:00Z,25.7,0.0,820
2025-06-21T09:40:00Z,25.5,0.0,845
2025-06-21T10:00:00Z,25.5,0.0,867
2025-06-21T10:10:00Z,26.8,0.0,883
2025-06-21T10:20:00Z,27.9,0.0,883
2025-06-21T10:40:00Z,27.1,0.0,900
2025-06-21T11:00:00Z,28.0,0.0,908
2025-06-21T11:10:00Z,27.9,0.0,933
2025-06-21T11:20:00Z,25.9,0.0,665
2025-06-21T11:40:00Z,26.0,0.0,626
2025-06-21T12:00:00Z,26.6,0.0,374
2025-06-21T12:20:00Z,26.8,0.0,510
2025-06-21T12:20:00Z,26.8,0.0,510
2025-06-21T12:50:00Z,26.4,0.0,221
2025-06-21T12:50:00Z,26.4,0.0,221
2025-06-21T13:20:00Z,26.1,0.0,170
2025-06-21T13:30:00Z,26.1,0.0,201
2025-06-21T13:50:00Z,26.0,0.0,197
2025-06-21T13:50:00Z,26.0,0.0,118
2025-06-21T14:20:00Z,25.8,0.0,44
2025-06-21T14:30:00Z,25.6,0.0,40
2025-06-21T22:50:00Z,18.7,0.0,0
2025-06-21T23:00:00Z,18.7,0.0,0
2025-06-21T23:20:00Z,18.7,0.0,0
2025-06-21T23:30:00Z,18.9,0.0,0
