time,temp_degC,precip_mm,irrad_W_m2
2025-06-07T07:50:00Z,18.8,0.0,98
2025-06-07T07:50:00Z,18.8,0.0,98
2025-06-07T08:20:00Z,18.5,0.0,114
2025-06-07T08:20:00Z,18.5,0.0,105
2025-06-07T08:40:00Z,18.5,0.0,76
2025-06-07T08:50:00Z,18.8,0.0,111
2025-06-07T09:20:00Z,18.7,0.4,119
2025-06-07T09:30:00Z,19.0,0.0,119
2025-06-07T09:40:00Z,18.9,0.2,117
2025-06-07T09:50:00Z,18.7,0.2,113
2025-06-07T10:10:00Z,18.8,0.1,108
2025-06-07T10:30:00Z,18.4,0.0,74
2025-06-07T10:40:00Z,18.4,0.4,118
2025-06-07T10:50:00Z,19.0,0.0,273
2025-06-07T11:10:00Z,18.8,0.0,90
2025-06-07T11:30:00Z,18.7,0.3,122
2025-06-07T11:50:00Z,19.3,0.0,183
2025-06-07T12:00:00Z,19.3,0.0,183
2025-06-07T12:10:00Z,19.6,0.0,602
2025-06-07T12:20:00Z,20.4,0.0,602
2025-06-07T12:50:00Z,20.6,0.0,352
2025-06-07T12:50:00Z,20.6,0.0,352
2025-06-07T13:20:00Z,20.6,0.0,184
2025-06-07T13:20:00Z,20.6,0.0,202
2025-06-07T13:40:00Z,20.5,0.0,179
2025-06-07T13:50:00Z,19.9,0.4,180
2025-06-07T14:10:00Z,19.0,0.3,136
2025-06-07T14:30:00Z,19.2,0.1,129
2025-06-07T22:50:00Z,17.9,1.8,0
2025-06-07T22:50:00Z,17.9,0.1,0
2025-06-07T23:10:00Z,18.0,0.0,0
2025-06-07T23:30:00Z,17.8,0.0,0
