time,temp_degC,precip_mm,irrad_W_m2
2025-06-09T07:50:00Z,19.3,0.0,538
2025-06-09T08:00:00Z,19.6,0.0,567
2025-06-09T08:20:00Z,20.5,0.0,644
2025-06-09T08:30:00Z,19.8,0.0,668
2025-06-09T08:50:00Z,20.6,0.0,716
2025-06-09T09:00:00Z,20.9,0.0,737
2025-06-09T09:20:00Z,21.4,0.0,780
2025-06-09T09:20:00Z,21.4,0.0,798
2025-06-09T09:50:00Z,21.6,0.0,814
2025-06-09T10:00:00Z,21.7,0.0,840
2025-06-09T10:10:00Z,22.0,0.0,869
2025-06-09T10:30:00Z,23.4,0.0,879
2025-06-09T10:40:00Z,23.8,0.0,890
2025-06-09T11:00:00Z,24.1,0.0,890
2025-06-09T11:20:00Z,24.8,0.0,896
2025-06-09T11:20:00Z,24.8,0.0,896
2025-06-09T11:50:00Z,24.7,0.0,888
2025-06-09T12:00:00Z,24.5,0.0,882
2025-06-09T12:10:00Z,24.1,0.0,872
2025-06-09T12:30:00Z,24.2,0.0,872
2025-06-09T12:40:00Z,24.8,0.0,839
2025-06-09T13:00:00Z,25.1,0.0,839
2025-06-09T13:20:00Z,25.2,0.0,797
2025-06-09T13:20:00Z,25.2,0.0,797
2025-06-09T13:50:00Z,25.5,0.0,745
2025-06-09T14:00:00Z,25.5,0.0,745
2025-06-09T14:20:00Z,25.6,0.0,676
2025-06-09T14:30:00Z,25.3,0.0,650
