time,temp_degC,precip_mm,irrad_W_m2
2025-06-03T08:20:00Z,19.1,0.0,595
2025-06-03T08:30:00Z,19.5,0.0,415
2025-06-03T08:50:00Z,19.1,0.0,892
2025-06-03T09:00:00Z,20.6,0.0,809
2025-06-03T09:20:00Z,20.5,0.0,877
2025-06-03T09:20:00Z,20.5,0.0,925
2025-06-03T09:50:00Z,21.5,0.0,919
2025-06-03T10:00:00Z,22.1,0.0,919
2025-06-03T10:20:00Z,22.3,0.0,1005
2025-06-03T10:30:00Z,23.1,0.0,1005
2025-06-03T10:50:00Z,22.0,0.0,963
2025-06-03T11:00:00Z,21.7,0.0,564
2025-06-03T11:20:00Z,22.5,0.0,1034
2025-06-03T11:30:00Z,22.4,0.0,1103
2025-06-03T11:50:00Z,22.1,0.0,617
2025-06-03T12:00:00Z,21.9,0.0,412
2025-06-03T12:20:00Z,21.6,0.0,303
2025-06-03T12:20:00Z,21.6,0.0,376
2025-06-03T12:40:00Z,21.6,0.0,319
2025-06-03T13:00:00Z,21.9,0.0,272
2025-06-03T13:20:00Z,21.3,0.0,293
2025-06-03T13:20:00Z,21.3,0.0,229
2025-06-03T13:50:00Z,20.9,0.0,88
2025-06-03T13:50:00Z,20.9,0.1,77
2025-06-03T14:20:00Z,20.5,0.4,189
2025-06-03T14:30:00Z,20.3,0.0,118
2025-06-03T22:50:00Z,17.0,0.0,0
2025-06-03T23:00:00Z,17.0,0.0,0
2025-06-03T23:10:00Z,16.9,0.0,0
2025-06-03T23:20:00Z,16.9,0.0,0
