time,temp_degC,precip_mm,irrad_W_m2
2025-06-15T07:50:00Z,23.1,0.0,637
2025-06-15T07:50:00Z,23.1,0.0,637
2025-06-15T08:20:00Z,23.6,0.0,400
2025-06-15T08:20:00Z,23.6,0.0,261
2025-06-15T08:50:00Z,23.0,0.0,508
2025-06-15T08:50:00Z,23.0,0.0,372
2025-06-15T09:20:00Z,25.4,0.0,847
2025-06-15T09:30:00Z,25.9,0.0,847
2025-06-15T09:50:00Z,25.8,0.0,861
2025-06-15T10:00:00Z,25.7,0.0,890
2025-06-15T10:10:00Z,26.5,0.0,882
2025-06-15T10:20:00Z,27.1,0.0,881
2025-06-15T10:50:00Z,27.8,0.0,852
2025-06-15T10:50:00Z,27.8,0.0,867
2025-06-15T11:10:00Z,27.2,0.0,639
2025-06-15T11:30:00Z,29.0,0.0,1043
2025-06-15T11:50:00Z,28.3,0.0,831
2025-06-15T11:50:00Z,28.3,0.0,831
2025-06-15T12:10:00Z,29.7,0.0,912
2025-06-15T12:30:00Z,29.1,0.0,906
2025-06-15T12:50:00Z,29.1,0.0,856
2025-06-15T12:50:00Z,29.1,0.0,855
2025-06-15T13:10:00Z,29.6,0.0,837
2025-06-15T13:30:00Z,29.6,0.0,819
2025-06-15T13:40:00Z,29.7,0.0,790
2025-06-15T14:00:00Z,30.1,0.0,790
2025-06-15T14:20:00Z,27.8,0.0,462
2025-06-15T14:30:00Z,27.6,0.0,78
