time,temp_degC,precip_mm,irrad_W_m2
2025-06-24T07:50:00Z,24.1,0.0,608
2025-06-24T08:00:00Z,24.4,0.0,661
2025-06-24T08:20:00Z,25.4,0.0,709
2025-06-24T08:30:00Z,24.9,0.0,732
2025-06-24T08:50:00Z,25.6,0.0,775
2025-06-24T08:50:00Z,25.6,0.0,794
2025-06-24T09:20:00Z,26.4,0.0,836
2025-06-24T09:20:00Z,26.4,0.0,836
2025-06-24T09:50:00Z,27.4,0.0,880
2025-06-24T09:50:00Z,27.4,0.0,880
2025-06-24T10:20:00Z,28.0,0.0,911
2025-06-24T10:30:00Z,27.4,0.0,921
2025-06-24T10:50:00Z,28.1,0.0,933
2025-06-24T10:50:00Z,28.1,0.0,938
2025-06-24T11:10:00Z,28.5,0.0,943
2025-06-24T11:30:00Z,29.4,0.0,943
2025-06-24T11:50:00Z,28.6,0.0,939
2025-06-24T12:00:00Z,28.8,0.0,935
2025-06-24T12:20:00Z,29.1,0.0,924
2025-06-24T12:20:00Z,29.1,0.0,915
2025-06-24T12:50:00Z,28.9,0.0,900
2025-06-24T13:00:00Z,29.0,0.0,900
2025-06-24T13:20:00Z,29.8,0.0,862
2025-06-24T13:30:00Z,30.0,0.0,862
2025-06-24T13:50:00Z,29.7,0.0,813
2025-06-24T14:00:00Z,30.0,0.0,793
2025-06-24T14:20:00Z,30.3,0.0,749
2025-06-24T14:30:00Z,30.3,0.0,726
2025-06-24T22:40:00Z,24.2,0.0,0
2025-06-24T22:50:00Z,24.1,0.0,0
2025-06-24T23:20:00Z,24.2,0.0,0
2025-06-24T23:30:00Z,24.0,0.0,0
