time,temp_degC,precip_mm,irrad_W_m2
2025-06-16T07:50:00Z,26.5,0.0,646
2025-06-16T07:50:00Z,26.5,0.0,646
2025-06-16T08:20:00Z,27.1,0.0,716
2025-06-16T08:20:00Z,27.1,0.0,716
2025-06-16T08:50:00Z,28.5,0.0,774
2025-06-16T09:00:00Z,27.8,0.0,774
2025-06-16T09:20:00Z,28.4,0.0,813
2025-06-16T09:20:00Z,28.4,0.0,846
2025-06-16T09:40:00Z,29.0,0.0,875
2025-06-16T10:00:00Z,30.0,0.0,891
2025-06-16T10:20:00Z,30.5,0.0,913
2025-06-16T10:20:00Z,30.5,0.0,924
2025-06-16T10:40:00Z,29.8,0.0,939
2025-06-16T11:00:00Z,30.4,0.0,948
2025-06-16T11:20:00Z,30.1,0.0,965
2025-06-16T11:30:00Z,30.6,0.0,965
2025-06-16T11:50:00Z,30.9,0.0,965
2025-06-16T12:00:00Z,30.3,0.0,959
2025-06-16T12:10:00Z,31.3,0.0,955
2025-06-16T12:30:00Z,31.6,0.0,942
2025-06-16T12:50:00Z,31.3,0.0,928
2025-06-16T12:50:00Z,31.3,0.0,911
2025-06-16T13:20:00Z,30.5,0.0,881
2025-06-16T13:30:00Z,30.6,0.0,870
2025-06-16T13:50:00Z,30.5,0.0,842
2025-06-16T14:00:00Z,30.8,0.0,822
2025-06-16T14:20:00Z,30.6,0.0,780
2025-06-16T14:30:00Z,30.5,0.0,757
