time,temp_degC,precip_mm,irrad_W_m2
2025-05-23T07:50:00Z,16.6,0.0,625
2025-05-23T08:00:00Z,17.8,0.0,679
2025-05-23T08:20:00Z,18.0,0.0,645
2025-05-23T08:20:00Z,18.0,0.0,779
2025-05-23T08:50:00Z,17.7,0.0,489
2025-05-23T09:00:00Z,18.1,0.0,574
2025-05-23T09:10:00Z,18.8,0.0,688
2025-05-23T09:20:00Z,18.4,0.0,699
2025-05-23T09:40:00Z,18.3,0.0,477
2025-05-23T09:50:00Z,18.4,0.0,477
2025-05-23T13:10:00Z,22.5,0.0,940
2025-05-23T13:30:00Z,21.7,0.0,901
2025-05-23T13:50:00Z,22.6,0.0,863
2025-05-23T13:50:00Z,22.6,0.0,852
2025-05-23T14:20:00Z,22.6,0.0,840
2025-05-23T14:30:00Z,22.2,0.0,791
2025-05-23T22:50:00Z,14.9,0.0,0
2025-05-23T22:50:00Z,14.9,0.0,0
2025-05-23T23:20:00Z,14.8,0.0,0
2025-05-23T23:30:00Z,14.9,0.0,0
