time,temp_degC,precip_mm,irrad_W_m2
2025-06-19T07:40:00Z,23.9,0.0,620
2025-06-19T07:50:00Z,23.7,0.0,620
2025-06-19T08:20:00Z,24.0,0.0,697
2025-06-19T08:20:00Z,24.0,0.0,721
2025-06-19T08:50:00Z,26.0,0.0,743
2025-06-19T09:00:00Z,25.8,0.0,785
2025-06-19T09:20:00Z,26.2,0.0,823
2025-06-19T09:20:00Z,26.2,0.0,823
2025-06-19T09:50:00Z,26.1,0.0,872
2025-06-19T10:00:00Z,27.1,0.0,882
2025-06-19T10:10:00Z,26.2,0.0,901
2025-06-19T10:30:00Z,27.3,0.0,901
2025-06-19T10:50:00Z,28.0,0.0,926
2025-06-19T11:00:00Z,27.8,0.0,926
2025-06-19T11:20:00Z,27.6,0.0,933
2025-06-19T11:30:00Z,29.0,0.0,938
2025-06-19T11:50:00Z,28.1,0.0,936
2025-06-19T12:00:00Z,28.1,0.0,932
2025-06-19T12:20:00Z,28.0,0.0,920
2025-06-19T12:30:00Z,28.4,0.0,911
2025-06-19T12:50:00Z,28.9,0.0,890
2025-06-19T13:00:00Z,29.5,0.0,880
2025-06-19T13:20:00Z,29.3,0.0,853
2025-06-19T13:30:00Z,29.7,0.0,853
2025-06-19T13:50:00Z,29.4,0.0,803
2025-06-19T14:00:00Z,29.8,0.0,784
2025-06-19T14:20:00Z,30.2,0.0,742
2025-06-19T14:30:00Z,29.8,0.0,742
2025-06-19T22:50:00Z,23.7,0.0,0
2025-06-19T23:00:00Z,23.5,0.0,0
2025-06-19T23:20:00Z,23.1,0.0,0
2025-06-19T23:20:00Z,23.1,0.0,0
