time,temp_degC,precip_mm,irrad_W_m2
2025-05-27T07:40:00Z,16.8,0.0,541
2025-05-27T07:50:00Z,16.0,0.0,689
2025-05-27T08:20:00Z,17.1,0.0,739
2025-05-27T08:20:00Z,17.1,0.0,739
2025-05-27T08:50:00Z,19.5,0.0,833
2025-05-27T08:50:00Z,19.5,0.0,907
2025-05-27T09:20:00Z,18.6,0.0,437
2025-05-27T09:20:00Z,18.6,0.0,437
2025-05-27T09:40:00Z,19.8,0.0,951
2025-05-27T10:00:00Z,19.2,0.0,951
2025-05-27T10:20:00Z,18.8,0.0,758
2025-05-27T10:20:00Z,18.8,0.0,758
2025-05-27T10:50:00Z,21.3,0.0,884
2025-05-27T10:50:00Z,21.3,0.0,884
2025-05-27T11:10:00Z,21.7,0.0,657
2025-05-27T11:30:00Z,20.2,0.0,578
2025-05-27T11:40:00Z,20.4,0.0,644
2025-05-27T11:50:00Z,20.4,0.0,644
2025-05-27T12:20:00Z,21.4,0.0,650
2025-05-27T12:30:00Z,20.8,0.0,650
2025-05-27T12:40:00Z,22.0,0.0,841
2025-05-27T12:50:00Z,21.8,0.0,675
2025-05-27T13:20:00Z,22.3,0.0,985
2025-05-27T13:20:00Z,22.3,0.0,1036
2025-05-27T13:50:00Z,22.3,0.0,1000
2025-05-27T14:00:00Z,22.6,0.0,1000
2025-05-27T14:10:00Z,22.6,0.0,889
2025-05-27T14:30:00Z,22.9,0.0,889
2025-05-27T22:40:00Z,17.2,0.0,0
2025-05-27T23:00:00Z,16.7,0.0,0
2025-05-27T23:20:00Z,16.5,0.0,0
2025-05-27T23:30:00Z,16.4,0.0,0
