time,temp_degC,precip_mm,irrad_W_m2
2025-06-11T07:50:00Z,22.8,0.0,620
2025-06-11T08:00:00Z,22.7,0.0,644
2025-06-11T08:20:00Z,23.2,0.0,695
2025-06-11T08:30:00Z,23.0,0.0,720
2025-06-11T08:50:00Z,23.9,0.0,767
2025-06-11T09:00:00Z,23.6,0.0,789
2025-06-11T09:20:00Z,23.3,0.0,828
2025-06-11T09:20:00Z,23.3,0.0,844
2025-06-11T09:50:00Z,24.4,0.0,874
2025-06-11T10:00:00Z,24.5,0.0,885
2025-06-11T10:20:00Z,25.9,0.0,911
2025-06-11T10:30:00Z,25.4,0.0,922
2025-06-11T10:50:00Z,25.4,0.0,932
2025-06-11T11:00:00Z,26.4,0.0,932
2025-06-11T11:20:00Z,26.9,0.0,945
2025-06-11T11:30:00Z,27.0,0.0,941
2025-06-11T11:50:00Z,26.4,0.0,932
2025-06-11T11:50:00Z,26.4,0.0,932
2025-06-11T12:20:00Z,27.1,0.0,918
2025-06-11T12:30:00Z,26.8,0.0,913
2025-06-11T12:50:00Z,27.8,0.0,902
2025-06-11T13:00:00Z,27.8,0.0,873
2025-06-11T13:10:00Z,27.8,0.0,847
2025-06-11T13:30:00Z,28.0,0.0,830
2025-06-11T13:40:00Z,28.6,0.0,793
2025-06-11T14:00:00Z,28.5,0.0,793
2025-06-11T14:20:00Z,29.1,0.0,734
2025-06-11T14:30:00Z,29.1,0.0,710
