time,temp_degC,precip_mm,irrad_W_m2
2025-05-29T07:50:00Z,21.7,0.0,636
2025-05-29T07:50:00Z,21.7,0.0,691
2025-05-29T08:20:00Z,22.2,0.0,740
2025-05-29T08:30:00Z,22.5,0.0,762
2025-05-29T08:50:00Z,21.9,0.0,806
2025-05-29T09:00:00Z,23.4,0.0,827
2025-05-29T09:10:00Z,22.4,0.0,863
2025-05-29T09:20:00Z,22.7,0.0,863
2025-05-29T09:50:00Z,23.1,0.0,898
2025-05-29T09:50:00Z,23.1,0.0,912
2025-05-29T10:20:00Z,23.5,0.0,952
2025-05-29T10:30:00Z,24.0,0.0,947
2025-05-29T10:50:00Z,25.3,0.0,956
2025-05-29T11:00:00Z,24.8,0.0,977
2025-05-29T11:20:00Z,25.8,0.0,958
2025-05-29T11:30:00Z,25.0,0.0,962
2025-05-29T11:50:00Z,25.5,0.0,960
2025-05-29T11:50:00Z,25.5,0.0,960
2025-05-29T12:20:00Z,25.8,0.0,948
2025-05-29T12:30:00Z,26.9,0.0,932
2025-05-29T12:50:00Z,27.0,0.0,907
2025-05-29T13:00:00Z,26.6,0.0,907
2025-05-29T13:10:00Z,26.6,0.0,877
2025-05-29T13:30:00Z,26.4,0.0,877
2025-05-29T13:40:00Z,26.6,0.0,819
2025-05-29T13:50:00Z,26.9,0.0,821
2025-05-29T14:20:00Z,27.0,0.0,765
2025-05-29T14:30:00Z,27.2,0.0,748
