time,temp_degC,precip_mm,irrad_W_m2
2025-06-22T07:40:00Z,21.1,0.0,614
2025-06-22T07:50:00Z,21.1,0.0,669
2025-06-22T08:10:00Z,21.4,0.0,719
2025-06-22T08:30:00Z,22.4,0.0,743
2025-06-22T08:50:00Z,22.8,0.0,787
2025-06-22T08:50:00Z,22.8,0.0,808
2025-06-22T09:20:00Z,23.1,0.0,845
2025-06-22T09:30:00Z,24.8,0.0,845
2025-06-22T09:50:00Z,24.2,0.0,894
2025-06-22T10:00:00Z,24.2,0.0,907
2025-06-22T10:20:00Z,25.7,0.0,929
2025-06-22T10:30:00Z,25.4,0.0,938
2025-06-22T10:50:00Z,25.9,0.0,951
2025-06-22T11:00:00Z,25.4,0.0,951
2025-06-22T11:20:00Z,26.1,0.0,962
2025-06-22T11:30:00Z,26.4,0.0,962
2025-06-22T11:50:00Z,26.7,0.0,959
2025-06-22T12:00:00Z,26.1,0.0,957
2025-06-22T12:20:00Z,27.5,0.0,952
2025-06-22T12:30:00Z,27.3,0.0,938
2025-06-22T12:50:00Z,27.8,0.0,918
2025-06-22T13:00:00Z,27.7,0.0,906
2025-06-22T13:20:00Z,27.8,0.0,879
2025-06-22T13:30:00Z,28.0,0.0,861
2025-06-22T13:50:00Z,28.1,0.0,825
2025-06-22T14:00:00Z,28.5,0.0,807
2025-06-22T14:20:00Z,28.2,0.0,763
2025-06-22T14:20:00Z,28.2,0.0,763
