time,temp_degC,precip_mm,irrad_W_m2
2025-06-08T07:50:00Z,19.9,0.0,605
2025-06-08T08:00:00Z,19.5,0.0,635
2025-06-08T08:20:00Z,20.7,0.0,671
2025-06-08T08:30:00Z,20.9,0.0,702
2025-06-08T08:40:00Z,20.7,0.0,726
2025-06-08T09:00:00Z,21.6,0.0,743
2025-06-08T09:20:00Z,21.5,0.0,758
2025-06-08T09:30:00Z,22.5,0.0,772
2025-06-08T09:40:00Z,22.1,0.0,828
2025-06-08T10:00:00Z,21.9,0.0,836
2025-06-08T10:20:00Z,22.6,0.0,844
2025-06-08T10:30:00Z,22.5,0.0,867
2025-06-08T10:40:00Z,23.7,0.0,907
2025-06-08T10:50:00Z,23.5,0.0,907
2025-06-08T11:20:00Z,24.0,0.0,924
2025-06-08T11:20:00Z,24.0,0.0,930
2025-06-08T11:50:00Z,24.7,0.0,928
2025-06-08T11:50:00Z,24.7,0.0,927
2025-06-08T12:20:00Z,25.1,0.0,917
2025-06-08T12:20:00Z,25.1,0.0,917
2025-06-08T12:50:00Z,25.3,0.0,896
2025-06-08T13:00:00Z,25.5,0.0,871
2025-06-08T13:20:00Z,25.4,0.0,842
2025-06-08T13:20:00Z,25.4,0.0,824
2025-06-08T13:40:00Z,26.0,0.0,790
2025-06-08T14:00:00Z,25.6,0.0,766
2025-06-08T14:20:00Z,26.0,0.0,721
2025-06-08T14:30:00Z,25.9,0.0,699
