time,temp_degC,precip_mm,irrad_W_m2
2025-06-27T07:50:00Z,23.4,0.0,651
2025-06-27T08:00:00Z,23.7,0.0,704
2025-06-27T08:20:00Z,24.4,0.0,721
2025-06-27T08:30:00Z,24.5,0.0,772
2025-06-27T08:50:00Z,24.9,0.0,487
2025-06-27T08:50:00Z,24.9,0.0,780
2025-06-27T09:20:00Z,25.5,0.0,842
2025-06-27T09:20:00Z,25.5,0.0,842
2025-06-27T09:50:00Z,27.0,0.0,848
2025-06-27T10:00:00Z,25.9,0.0,894
2025-06-27T10:20:00Z,27.5,0.0,924
2025-06-27T10:30:00Z,28.0,0.0,924
2025-06-27T10:50:00Z,27.6,0.0,678
2025-06-27T11:00:00Z,28.0,0.0,939
2025-06-27T11:20:00Z,27.6,0.0,717
2025-06-27T11:30:00Z,28.4,0.0,833
2025-06-27T11:50:00Z,29.0,0.0,1021
2025-06-27T12:00:00Z,27.2,0.0,951
2025-06-27T12:20:00Z,28.6,0.0,952
2025-06-27T12:30:00Z,29.2,0.0,905
2025-06-27T12:50:00Z,29.1,0.0,602
2025-06-27T12:50:00Z,29.1,0.0,867
2025-06-27T13:20:00Z,30.3,0.0,971
2025-06-27T13:30:00Z,30.8,0.0,888
2025-06-27T13:50:00Z,30.4,0.0,822
2025-06-27T13:50:00Z,30.4,0.0,822
2025-06-27T14:20:00Z,30.8,0.0,758
2025-06-27T14:30:00Z,30.0,0.0,736
