time,temp_degC,precip_mm,irrad_W_m2
2025-06-17T07:40:00Z,21.0,0.0,585
2025-06-17T08:00:00Z,21.3,0.0,647
2025-06-17T08:20:00Z,22.0,0.0,727
2025-06-17T08:30:00Z,21.6,0.0,750
2025-06-17T08:40:00Z,22.5,0.0,783
2025-06-17T09:00:00Z,22.9,0.0,775
2025-06-17T09:20:00Z,22.8,0.0,809
2025-06-17T09:30:00Z,22.6,0.0,819
2025-06-17T09:40:00Z,22.9,0.0,879
2025-06-17T10:00:00Z,23.1,0.0,852
2025-06-17T10:10:00Z,23.6,0.0,884
2025-06-17T10:30:00Z,23.7,0.0,898
2025-06-17T10:40:00Z,23.4,0.0,868
2025-06-17T10:50:00Z,22.9,0.0,868
2025-06-17T11:20:00Z,24.5,0.0,883
2025-06-17T11:30:00Z,24.4,0.0,920
2025-06-17T11:30:00Z,24.4,0.0,917
2025-06-17T12:00:00Z,25.0,0.0,931
2025-06-17T12:20:00Z,24.1,0.0,798
2025-06-17T12:30:00Z,23.7,0.0,691
2025-06-17T12:40:00Z,23.9,0.0,732
2025-06-17T13:00:00Z,25.2,0.0,798
2025-06-17T13:20:00Z,25.7,0.0,834
2025-06-17T13:30:00Z,25.6,0.0,805
2025-06-17T13:50:00Z,25.4,0.0,666
2025-06-17T14:00:00Z,25.8,0.0,655
2025-06-17T14:20:00Z,26.2,0.0,697
2025-06-17T14:30:00Z,25.5,0.0,697
