time,temp_degC,precip_mm,irrad_W_m2
2025-06-29T07:50:00Z,26.3,0.0,610
2025-06-29T08:00:00Z,26.7,0.0,633
2025-06-29T08:20:00Z,27.2,0.0,685
2025-06-29T08:30:00Z,27.4,0.0,708
2025-06-29T08:50:00Z,27.5,0.0,753
2025-06-29T09:00:00Z,28.6,0.0,753
2025-06-29T09:20:00Z,29.3,0.0,792
2025-06-29T09:30:00Z,28.2,0.0,830
2025-06-29T09:50:00Z,29.7,0.0,856
2025-06-29T10:00:00Z,31.1,0.0,869
2025-06-29T10:20:00Z,29.6,0.0,893
2025-06-29T10:20:00Z,29.6,0.0,902
2025-06-29T10:50:00Z,30.6,0.0,916
2025-06-29T11:00:00Z,30.7,0.0,923
2025-06-29T11:20:00Z,30.4,0.0,927
2025-06-29T11:30:00Z,31.2,0.0,931
2025-06-29T11:40:00Z,30.7,0.0,929
2025-06-29T12:00:00Z,31.7,0.0,925
2025-06-29T12:10:00Z,31.1,0.0,915
2025-06-29T12:20:00Z,31.5,0.0,907
2025-06-29T12:50:00Z,32.2,0.0,888
2025-06-29T13:00:00Z,31.3,0.0,888
2025-06-29T13:20:00Z,31.6,0.0,848
2025-06-29T13:20:00Z,31.6,0.0,833
2025-06-29T13:40:00Z,32.4,0.0,798
2025-06-29T14:00:00Z,32.6,0.0,779
2025-06-29T14:20:00Z,33.5,0.0,738
2025-06-29T14:30:00Z,32.7,0.0,716
