time,temp_degC,precip_mm,irrad_W_m2
2025-06-12T07:50:00Z,22.9,0.0,577
2025-06-12T08:00:00Z,23.3,0.0,577
2025-06-12T08:20:00Z,23.5,0.0,666
2025-06-12T08:20:00Z,23.5,0.0,666
2025-06-12T08:40:00Z,24.3,0.0,707
2025-06-12T08:50:00Z,25.2,0.0,756
2025-06-12T09:20:00Z,24.6,0.0,791
2025-06-12T09:20:00Z,24.6,0.0,791
2025-06-12T09:50:00Z,26.0,0.0,836
2025-06-12T10:00:00Z,26.3,0.0,836
2025-06-12T10:20:00Z,26.8,0.0,866
2025-06-12T10:20:00Z,26.8,0.0,887
2025-06-12T10:50:00Z,25.9,0.0,901
2025-06-12T11:00:00Z,26.6,0.0,905
2025-06-12T11:10:00Z,26.3,0.0,907
2025-06-12T11:20:00Z,26.4,0.0,913
2025-06-12T11:50:00Z,26.8,0.0,910
2025-06-12T12:00:00Z,27.6,0.0,906
2025-06-12T12:20:00Z,27.9,0.0,892
2025-06-12T12:30:00Z,27.8,0.0,882
2025-06-12T12:50:00Z,27.7,0.0,870
2025-06-12T12:50:00Z,27.7,0.0,846
2025-06-12T13:10:00Z,28.4,0.0,813
2025-06-12T13:20:00Z,28.5,0.0,813
2025-06-12T13:40:00Z,29.4,0.0,767
2025-06-12T13:50:00Z,29.2,0.0,746
2025-06-12T14:20:00Z,29.5,0.0,703
2025-06-12T14:30:00Z,29.2,0.0,676
2025-06-12T22:50:00Z,23.6,0.0,0
2025-06-12T23:00:00Z,23.1,0.0,0
2025-06-12T23:10:00Z,23.3,0.0,0
2025-06-12T23:30:00Z,22.9,0.0,0
