time,temp_degC,precip_mm,irrad_W_m2
2025-06-05T07:50:00Z,17.0,0.6,28
2025-06-05T07:50:00Z,17.0,1.1,28
2025-06-05T08:20:00Z,17.3,0.0,123
2025-06-05T08:30:00Z,17.6,0.0,123
2025-06-05T08:50:00Z,17.2,0.0,328
2025-06-05T09:00:00Z,17.6,0.0,228
2025-06-05T09:20:00Z,19.2,0.0,450
2025-06-05T09:20:00Z,19.2,0.0,450
2025-06-05T09:50:00Z,19.1,0.0,899
2025-06-05T10:00:00Z,20.4,0.0,904
2025-06-05T10:20:00Z,19.8,0.0,870
2025-06-05T10:20:00Z,19.8,0.0,316
2025-06-05T10:50:00Z,18.6,0.0,465
2025-06-05T11:00:00Z,20.0,0.0,523
2025-06-05T11:20:00Z,20.3,0.0,932
2025-06-05T11:30:00Z,19.7,0.0,587
2025-06-05T11:40:00Z,18.9,0.0,410
2025-06-05T12:00:00Z,19.8,0.0,480
2025-06-05T12:10:00Z,19.2,0.0,180
2025-06-05T12:30:00Z,18.3,0.0,209
2025-06-05T12:50:00Z,18.5,0.0,96
2025-06-05T12:50:00Z,18.5,0.0,101
2025-06-05T13:10:00Z,19.1,0.0,251
2025-06-05T13:20:00Z,19.7,0.0,325
2025-06-05T13:40:00Z,18.6,0.0,157
2025-06-05T14:00:00Z,18.0,0.0,146
2025-06-05T14:20:00Z,18.5,0.0,202
2025-06-05T14:30:00Z,18.6,0.0,207
